normalized_artists,normalized_title,source_position,video_id,video_url,candidate_rank,candidate_score,candidate_variant,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,tempo,time_sig,key_of,mode,open_key,danceability,acousticness
Temple of Void,The Crawl,33,lgTMOQSQvHc,https://music.youtube.com/watch?v=lgTMOQSQvHc,3,0.7300,title_only,W2Wjg,The Crawl,Vince Neil,https://getsongbpm.com/song/the-crawl/W2Wjg,124,4/4,A,major,4d,57,1
Turnstile,SLOWDIVE,35,yjS8EeK-We0,https://music.youtube.com/watch?v=yjS8EeK-We0,1,0.7943,title_only,Qn1Lv7,Slowdive,GRICE,https://getsongbpm.com/song/slowdive/Qn1Lv7,128,3/4,C#,minor,5m,58,37
Turnstile,SLOWDIVE,35,yjS8EeK-We0,https://music.youtube.com/watch?v=yjS8EeK-We0,2,0.7671,title_only,vmQwX,Slowdive,Crane A.K.,https://getsongbpm.com/song/slowdive/vmQwX,139,4/4,C#,major,8d,47,1
Turnstile,SLOWDIVE,35,yjS8EeK-We0,https://music.youtube.com/watch?v=yjS8EeK-We0,3,0.7537,title_only,oYAr6B,Slowdive,pasteboard,https://getsongbpm.com/song/slowdive/oYAr6B,80,4/4,E,major,5d,55,32
Static-X,Destroy All,38,7wNyotJ3T_w,https://music.youtube.com/watch?v=7wNyotJ3T_w,1,0.9760,title_only,pLv8y,Destroy All,Static‐X,https://getsongbpm.com/song/destroy-all/pLv8y,125,4/4,C#,major,8d,56,1
Static-X,Destroy All,38,7wNyotJ3T_w,https://music.youtube.com/watch?v=7wNyotJ3T_w,2,0.7055,title_only,p8XyQ2,Destroy All,Music Distroyer,https://getsongbpm.com/song/destroy-all/p8XyQ2,,,,minor,,,
Static-X,Destroy All,38,7wNyotJ3T_w,https://music.youtube.com/watch?v=7wNyotJ3T_w,3,0.7000,title_only,zpmEK2,Destroy All,Craft,https://getsongbpm.com/song/destroy-all/zpmEK2,116,4/4,G,major,2d,18,1
Static-X,Otsegolation,39,KhQWKdyN208,https://music.youtube.com/watch?v=KhQWKdyN208,1,0.9760,title_only,DRg3k,Otsegolation,Static‐X,https://getsongbpm.com/song/otsegolation/DRg3k,130,4/4,E,minor,2m,57,1
Deftones,my mind is a mountain,43,aLjJ8iwG8UU,https://music.youtube.com/watch?v=aLjJ8iwG8UU,1,0.6740,title_first2,v2qWz5,My Mind,Nerve,https://getsongbpm.com/song/my-mind/v2qWz5,113,4/4,F#,major,7d,49,1
Deftones,my mind is a mountain,43,aLjJ8iwG8UU,https://music.youtube.com/watch?v=aLjJ8iwG8UU,2,0.6712,title_first2,NkOjLm,My Mind,Sweet Coffee,https://getsongbpm.com/song/my-mind/NkOjLm,178,4/4,C#,major,8d,63,72
