normalized_artists,normalized_title,source_position,video_id,video_url,reason,best_match_score,best_match_title,best_match_artist,best_match_id
Пророк Сан Бой,Остров (rock версия),2129,nl8JxdX3A-g,https://music.youtube.com/watch?v=nl8JxdX3A-g,not_found,0.0000,,,
Босиком по солнцу,А по тёмным улицам гуляет дождь (Одинокий вечер 2001),2131,-xxWaHZShZQ,https://music.youtube.com/watch?v=-xxWaHZShZQ,not_found,0.0000,,,
Oleg Skoblja,Rekviem,2134,zNpxYQUd-E8,https://music.youtube.com/watch?v=zNpxYQUd-E8,not_found,0.0000,,,
Porcupine Tree,Anesthetize (Live),2138,nqCRnZr_03I,https://music.youtube.com/watch?v=nqCRnZr_03I,not_found,0.0000,,,
Devin Townsend Project,The Death of Music (Live),2142,u2sDQ_6DrtM,https://music.youtube.com/watch?v=u2sDQ_6DrtM,not_found,0.0000,,,
Joy,Touch By Touch (Touch Maxi Version),2144,PkiC3j--1tY,https://music.youtube.com/watch?v=PkiC3j--1tY,not_found,0.0000,,,
William Maranci Mashups,Imagine Dragons - U.S.S.R. National Anthem,2165,V7KM3dEO6ZY,https://music.youtube.com/watch?v=V7KM3dEO6ZY,not_found,0.0000,,,
THY ART IS MURDER,Son Of Misery - Bloodstock 2019,2169,fTzmBmrd_2Y,https://music.youtube.com/watch?v=fTzmBmrd_2Y,not_found,0.0000,,,
Bach,"Air on the G string"" played with air on the G string (w/air compressor)",2191,GxNU4Dkxggk,https://music.youtube.com/watch?v=GxNU4Dkxggk,not_found,0.0000,,,
Пророк Санбой,Пророк Санбой РАССВЕТ 1992,2192,JRVjBSagvQs,https://music.youtube.com/watch?v=JRVjBSagvQs,not_found,0.0000,,,
Eagles feat М.Круг,Central California (Владимирский отель),2194,nfDf9HdG_jg,https://music.youtube.com/watch?v=nfDf9HdG_jg,not_found,0.0000,,,
Devin Townsend Project,Deadhead (Live),2199,MCKMdU6ed5g,https://music.youtube.com/watch?v=MCKMdU6ed5g,not_found,0.0000,,,
Dobranotch,В Семнадцатом Году,2209,XsdmtDf5DXw,https://music.youtube.com/watch?v=XsdmtDf5DXw,not_found,0.0000,,,
Old Roman chant,Kyrie eleison,2211,KDJtBh3LGJg,https://music.youtube.com/watch?v=KDJtBh3LGJg,not_found,0.0000,,,
"Miserere mei, Deus",Allegri - Tenebrae conducted by Nigel Short,2213,H3v9unphfi0,https://music.youtube.com/watch?v=H3v9unphfi0,not_found,0.0000,,,
