normalized_artists,normalized_title,source_position,video_id,video_url,reason,best_match_score,best_match_title,best_match_artist,best_match_id
Diddy Heil Epstein,Full Lyric Video (tiktok audio),125,CTfAn-6trNQ,https://music.youtube.com/watch?v=CTfAn-6trNQ,not_found,0.0000,,,
Cities Last Broadcast; Fractalyst,Imprecise Waltz,126,FzvqjWiQd4U,https://music.youtube.com/watch?v=FzvqjWiQd4U,not_found,0.0000,,,
Wounded Masquerade,my lungs are just rooms for ghosts,127,c776nK4no0Q,https://music.youtube.com/watch?v=c776nK4no0Q,not_found,0.0000,,,
Finnegan Tui,Denna,128,8ZNucRs1hf8,https://music.youtube.com/watch?v=8ZNucRs1hf8,not_found,0.0000,,,
Atrium Carceri,Pathway to Nothing,129,4iKqzUEmKGA,https://music.youtube.com/watch?v=4iKqzUEmKGA,not_found,0.0000,,,
Yves Montand,Sous Le Ciel De Paris,135,XZ5uNaChjfM,https://music.youtube.com/watch?v=XZ5uNaChjfM,not_found,0.0000,,,
John Murphy,Adagio in D Minor,139,-K9PM3_lAgQ,https://music.youtube.com/watch?v=-K9PM3_lAgQ,not_found,0.0000,,,
Metatron Omega,Megalosthronos,140,TP0_3JMntAc,https://music.youtube.com/watch?v=TP0_3JMntAc,not_found,0.0000,,,
Emerelle,"Evenstar (""Lord of the Rings"")",144,2GdWWPVMITc,https://music.youtube.com/watch?v=2GdWWPVMITc,not_found,0.0000,,,
Swordlender,Ancient Mountain,145,98nWAuL87rk,https://music.youtube.com/watch?v=98nWAuL87rk,not_found,0.0000,,,
Swordlender,Caverns of the Old Gods,146,vJ_rSbiKGTI,https://music.youtube.com/watch?v=vJ_rSbiKGTI,not_found,0.0000,,,
Nocturnal Depression,Spring,149,bagdrYMn9R0,https://music.youtube.com/watch?v=bagdrYMn9R0,not_found,0.0000,,,
Nocturnal Depression,Anthem to Self Destruction,151,fTc4bzYAmmU,https://music.youtube.com/watch?v=fTc4bzYAmmU,not_found,0.0000,,,
FLat7,パス・トゥ・ハート - Path To Heart,153,baaDERtnt2o,https://music.youtube.com/watch?v=baaDERtnt2o,not_found,0.0000,,,
Pogomix,Boy & Bear,155,Nfh0IJikKVo,https://music.youtube.com/watch?v=Nfh0IJikKVo,not_found,0.0000,,,
Famous Fhil,Million Dollar Baby,159,HyejjJA8tqI,https://music.youtube.com/watch?v=HyejjJA8tqI,not_found,0.0000,,,
揽佬SKAI ISYOURGOD,求签,160,Jnkm6kM4Tn0,https://music.youtube.com/watch?v=Jnkm6kM4Tn0,not_found,0.0000,,,
攬佬SKAI ISYOURGOD & AR劉夫陽,大展鴻圖(Blueprint Supreme),161,yWT-UopFlAs,https://music.youtube.com/watch?v=yWT-UopFlAs,not_found,0.0000,,,
Lian Ross,Mamy Blue,164,_Llli2oIIIE,https://music.youtube.com/watch?v=_Llli2oIIIE,not_found,0.0000,,,
攬佬SKAI ISYOURGOD,八方來財(Stacks from All Sides),168,cUwnLvgdo5g,https://music.youtube.com/watch?v=cUwnLvgdo5g,not_found,0.0000,,,
Travis Scott; GloRilla,SHYNE,182,9U6suxc3kIs,https://music.youtube.com/watch?v=9U6suxc3kIs,not_found,0.0000,,,
Misanthrop,Blod Besvimelse,183,sapvbf2CKoE,https://music.youtube.com/watch?v=sapvbf2CKoE,not_found,0.0000,,,
PATRIARKH,WIERSZALIN V,184,NGIx9z5k3Go,https://music.youtube.com/watch?v=NGIx9z5k3Go,not_found,0.0000,,,
Eminem,Venom (Music From The Motion Picture),189,pB-B6DUY0OY,https://music.youtube.com/watch?v=pB-B6DUY0OY,not_found,0.0000,,,
Byzantine Choir,Kyrie Eleison,193,wVWNFuk4N2M,https://music.youtube.com/watch?v=wVWNFuk4N2M,not_found,0.0000,,,
Teddy Swims,Lose Control,196,AeedWEyMYYo,https://music.youtube.com/watch?v=AeedWEyMYYo,not_found,0.0000,,,
Земфира,П.М.М.Л.,197,gqXde_na_YA,https://music.youtube.com/watch?v=gqXde_na_YA,not_found,0.0000,,,
Pogo,Grover Groove,201,H5Vrom3ngSE,https://music.youtube.com/watch?v=H5Vrom3ngSE,not_found,0.0000,,,
Ghost,Zenith,204,G-8KOmo5nps,https://music.youtube.com/watch?v=G-8KOmo5nps,not_found,0.0000,,,
Bob Sinclar,"World, Hold On (Children of the Sky) (feat. Steve Edwards)",208,Hw2z_MdSf-k,https://music.youtube.com/watch?v=Hw2z_MdSf-k,not_found,0.0000,,,
Lipps Inc.,Funkytown,212,OAC4ItP0xWM,https://music.youtube.com/watch?v=OAC4ItP0xWM,not_found,0.0000,,,
Silent Rhythm,Starry Night,214,626uq6qqavY,https://music.youtube.com/watch?v=626uq6qqavY,not_found,0.0000,,,
Engelbert Humperdinck,Love Me With All Your Heart (Cuando Calienta El Sol),219,blhEVJkgAtQ,https://music.youtube.com/watch?v=blhEVJkgAtQ,not_found,0.0000,,,
Maceo,The Soul Of A Black Man,221,DDU_LlOMK0k,https://music.youtube.com/watch?v=DDU_LlOMK0k,not_found,0.0000,,,
Triads; Gimp,Now I Can Hold My Head Up High,222,8Mzxp-b3q7U,https://music.youtube.com/watch?v=8Mzxp-b3q7U,not_found,0.0000,,,
Them Two,Am I a Good Man,225,7EUipDulX8c,https://music.youtube.com/watch?v=7EUipDulX8c,not_found,0.0000,,,
what i hate about atom eve,thanks to you,226,sPI6aOeAuF0,https://music.youtube.com/watch?v=sPI6aOeAuF0,not_found,0.0000,,,
Peppino Gagliardi,Che vuole questa musica stasera,228,0g16tSwpvwQ,https://music.youtube.com/watch?v=0g16tSwpvwQ,not_found,0.0000,,,
Deftones,souvenir,230,zlSjfJTyzVM,https://music.youtube.com/watch?v=zlSjfJTyzVM,not_found,0.0000,,,
Decalius,Tortured,231,ieOCKmLevc0,https://music.youtube.com/watch?v=ieOCKmLevc0,not_found,0.0000,,,
