decision,reason,normalized_artists,normalized_title,source_position,video_id,video_url,best_match_score,best_match_artist,best_match_title,best_match_id
,ambiguous,Luciano Pavarotti; Orchestra del Teatro Comunale di Bologna,Caruso,1436,9Kr8Q454gv8,https://music.youtube.com/watch?v=9Kr8Q454gv8,0.9579,Luciano Pavarotti,Caruso,6R8EzQ
,ambiguous,Pink Floyd,Wish You Were Here,1444,4K6cvc27_CE,https://music.youtube.com/watch?v=4K6cvc27_CE,1.0000,Pink Floyd,Wish You Were Here,l28lGV
,ambiguous,Rainbow,Stargazer,1474,YmJIccPWnEk,https://music.youtube.com/watch?v=YmJIccPWnEk,0.9304,Rainbow,Stargazer - New York Mix,oZ5lLY
,ambiguous,Schubert,Serenade,1482,0bjB-IWEYI0,https://music.youtube.com/watch?v=0bjB-IWEYI0,0.9568,Franz Schubert,Serenade,VPKmBo
,ambiguous,Pavarotti,Vesti La Giubba,1557,Z0PMq4XGtZ4,https://music.youtube.com/watch?v=Z0PMq4XGtZ4,0.9568,Luciano Pavarotti,Vesti la giubba,0B1OX
,ambiguous,Nina Simone,Feeling Good,1568,BNMKGYiJpvg,https://music.youtube.com/watch?v=BNMKGYiJpvg,1.0000,Nina Simone,Feeling Good,ADABP7
,ambiguous,Erik Satie,Gymnopédie No. 1,1571,eMnxjdGTK4w,https://music.youtube.com/watch?v=eMnxjdGTK4w,0.9400,Erik Satie,Gymnopédie no. 1,JywQo
,ambiguous,"Earth, Wind & Fire",September,1679,B2mmDEv0OEk,https://music.youtube.com/watch?v=B2mmDEv0OEk,0.9076,"Earth, Wind & Fire",September,k2WBqX
,ambiguous,Erik Satie,Trois Gnossiennes,1684,xwgvEOY0vaA,https://music.youtube.com/watch?v=xwgvEOY0vaA,0.9232,Erik Satie,Trois Gnossiennes : I. Lent,XoMpA
,ambiguous,Luciano Pavarotti; Bryan Adams; Orchestra del Teatro Comunale di Bologna; Leone Magiera,O Sole Mio,1687,hVdk756394U,https://music.youtube.com/watch?v=hVdk756394U,0.9586,Luciano Pavarotti,O sole mio,r6JX6
,ambiguous,Paul Anka,You Are My Destiny,1739,mKKht5gM8cs,https://music.youtube.com/watch?v=mKKht5gM8cs,0.9421,Paul Anka,You Are My Destiny,W6DZ0W
,ambiguous,Enigma,Back To The Rivers Of Belief: Way To Eternity / Hallelujah / The Rivers Of Belief,1749,u9P2rlQkmMs,https://music.youtube.com/watch?v=u9P2rlQkmMs,1.0000,Enigma,Back To The Rivers Of Belief: Way To Eternity / Hallelujah / The Rivers Of Belief,GMBWGJ
,ambiguous,Enigma,Mea Culpa,1771,BuYZ-Mc8iTQ,https://music.youtube.com/watch?v=BuYZ-Mc8iTQ,1.0000,Enigma,Mea Culpa,y9V2Rn
,ambiguous,John Williams; London Symphony Orchestra,Duel of the Fates,1842,D_2bluVPsb0,https://music.youtube.com/watch?v=D_2bluVPsb0,0.9429,John Williams,Duel of the Fates,2k983P
,ambiguous,The Animals,House of the Rising Sun,1845,VixdIglCZXk,https://music.youtube.com/watch?v=VixdIglCZXk,0.9904,The Animals,The House of the Rising Sun,X9wz8
,ambiguous,Richard Clayderman,Nostalgy,1921,R41pROiE1hQ,https://music.youtube.com/watch?v=R41pROiE1hQ,0.9444,Richard Clayderman,Nostalgy,QnzjYY
,low_confidence,Михаил Шуфутинский,Третье сентября (3-е сентября),2007,PQ02jz-UgeA,https://music.youtube.com/watch?v=PQ02jz-UgeA,0.2370,Батюшка,Песнь 3,Ogm1NL
,low_confidence,PSY,GENTLEMAN,2038,Y7n5JX0zxSw,https://music.youtube.com/watch?v=Y7n5JX0zxSw,0.8382,Psyche,I'm a Gentleman,0R87PK
,ambiguous,The Temptations,My Girl,2115,SSF1026hHd0,https://music.youtube.com/watch?v=SSF1026hHd0,0.9439,The Temptations,My Girl,qBOpk
,ambiguous,Lil Peep,Broken Smile (My All),2207,Awtr8SyortY,https://music.youtube.com/watch?v=Awtr8SyortY,1.0000,LiL PEEP,Broken Smile (My All),oZGnXX
,ambiguous,Andrea Bocelli,Time to Say Goodbye,2245,TdWEhMOrRpQ,https://music.youtube.com/watch?v=TdWEhMOrRpQ,0.9232,Andrea Bocelli,Time to Say Goodbye (Con te partirò),L8ml8D
,ambiguous,My Chemical Romance,Welcome to the Black Parade,2371,v_uncMEJkBc,https://music.youtube.com/watch?v=v_uncMEJkBc,1.0000,My Chemical Romance,Welcome to the Black Parade,lYk4Q7
,ambiguous,My Chemical Romance,Teenagers,2377,jLKOBJR5vHs,https://music.youtube.com/watch?v=jLKOBJR5vHs,1.0000,My Chemical Romance,Teenagers,rkq4ZB
,ambiguous,Bryan Adams,(Everything I Do) I Do It For You,2563,Y0pdQU87dc8,https://music.youtube.com/watch?v=Y0pdQU87dc8,1.0000,Bryan Adams,(Everything I Do) I Do It for You,n53VP
,low_confidence,Би-2,Полковнику никто не пишет,2655,ihOxsYme6pk,https://music.youtube.com/watch?v=ihOxsYme6pk,0.1927,Батюшка,Песнь 2,NOlZMp
,low_confidence,Би-2,Варвара,2656,pLI54N-NOEs,https://music.youtube.com/watch?v=pLI54N-NOEs,0.0840,Батюшка,Песнь 2,NOlZMp
,ambiguous,Ludacris,Move Bitch,2777,UC86yQAzaxg,https://music.youtube.com/watch?v=UC86yQAzaxg,1.0000,Ludacris,Move Bitch,qY63k
,ambiguous,Carl Orff,Carmina Burana,2804,GD3VsesSBsw,https://music.youtube.com/watch?v=GD3VsesSBsw,0.9232,Carl Orff,Carmina Burana: O Fortuna,El8kk
