normalized_artists,normalized_title,source_position,video_id,video_url,reason,best_match_score,best_match_title,best_match_artist,best_match_id
Михаил Елизаров,Некрономикон,1774,OySiCE_bsR4,https://music.youtube.com/watch?v=OySiCE_bsR4,not_found,0.0000,,,
Михаил Елизаров,ТЮРЕМНАЯ,1775,X_kSwAjkkgw,https://music.youtube.com/watch?v=X_kSwAjkkgw,not_found,0.0000,,,
Егор Летов,Мне насрать на моё лицо,1776,qGHKIw6jxHE,https://music.youtube.com/watch?v=qGHKIw6jxHE,not_found,0.0000,,,
Михаил Елизаров,СОВЕТСКАЯ,1785,TdSpZF36OHg,https://music.youtube.com/watch?v=TdSpZF36OHg,not_found,0.0000,,,
Егор Летов,Харакири (2021 Remastered Version),1794,x06MOwnE6P0,https://music.youtube.com/watch?v=x06MOwnE6P0,not_found,0.0000,,,
Ирина Аллегрова,Императрица,1801,EgRWaldVG2E,https://music.youtube.com/watch?v=EgRWaldVG2E,not_found,0.0000,,,
Король и Шут,Воспоминания о былой любви,1802,3sNdqNJnhhM,https://music.youtube.com/watch?v=3sNdqNJnhhM,not_found,0.0000,,,
MORGENSHTERN ft. OBEME,ДУЛО (prod. checkoff),1806,qHgLyODFCQE,https://music.youtube.com/watch?v=qHgLyODFCQE,not_found,0.0000,,,
William Maranci Mashups,supermassive bottom jeans (muse x flo rida),1811,3kxXOnbHI08,https://music.youtube.com/watch?v=3kxXOnbHI08,not_found,0.0000,,,
Ti voglio tanto bene,Italian Song | Piano Accompaniment 伴奏用,1812,rcPJgpZVCcM,https://music.youtube.com/watch?v=rcPJgpZVCcM,manual_reject_broader,,,,
Jonas Kaufmann; Jochen Rieder; Rundfunk-Sinfonieorchester Berlin,Ti voglio tanto bene,1814,2nKHr_TBSuU,https://music.youtube.com/watch?v=2nKHr_TBSuU,not_found,0.0000,,,
TILL LINDEMANN,Любимый город,1823,reD1JDyvdvg,https://music.youtube.com/watch?v=reD1JDyvdvg,not_found,0.0000,,,
MORGENSHTERN ft. OBEME,Володя быдло! (prod. checkoff),1838,iZnEl3AD2TY,https://music.youtube.com/watch?v=iZnEl3AD2TY,not_found,0.0000,,,
MORGENSHTERN ft. OBEME,Vodka & ПИВО (prod. checkoff),1839,B6d0mZTClfc,https://music.youtube.com/watch?v=B6d0mZTClfc,not_found,0.0000,,,
Crazy Obeme,Axel F (prod. checkoff),1840,Z1lIl9ZVXdQ,https://music.youtube.com/watch?v=Z1lIl9ZVXdQ,manual_reject_broader,,,,
Tsutomu Torii,Sous Le Ciel De Paris,1841,LO8K29YeaNI,https://music.youtube.com/watch?v=LO8K29YeaNI,manual_reject_broader,,,,
Rousseau,Hungarian Rhapsody No. 2 (Liszt),1852,03Kf4tbSnGo,https://music.youtube.com/watch?v=03Kf4tbSnGo,not_found,0.0000,,,
George Harrison,My Sweet Lord,1854,6wHBsMoHFWs,https://music.youtube.com/watch?v=6wHBsMoHFWs,manual_reject_broader,,,,
Deathwhite,Funeral Ground,1857,3uRznLJnsuw,https://music.youtube.com/watch?v=3uRznLJnsuw,not_found,0.0000,,,
azotnyturbopascal,Солнце над Твин Пиксом,1864,N5IlSG49xa4,https://music.youtube.com/watch?v=N5IlSG49xa4,not_found,0.0000,,,
Godsmack,Awake (Official Acapella),1868,LaHQyRXmlIg,https://music.youtube.com/watch?v=LaHQyRXmlIg,not_found,0.0000,,,
Hello Relatives!,Bohemian Rhapsody (in G minor),1876,6g1nqamb31M,https://music.youtube.com/watch?v=6g1nqamb31M,manual_reject_broader,,,,
DJ Cummerbund,It's Raining Bloody Bodies,1879,Fz-ABmyvyVY,https://music.youtube.com/watch?v=Fz-ABmyvyVY,manual_reject_broader,,,,
William Maranci Mashups,hall of the soulja king,1880,7PuITsSoLN4,https://music.youtube.com/watch?v=7PuITsSoLN4,not_found,0.0000,,,
avbbav,Михаил Елизаров 29.03.14 — Лучший,1881,g-mWTPQj48A,https://music.youtube.com/watch?v=g-mWTPQj48A,not_found,0.0000,,,
avbbav,Летела речка,1882,_2IkG2OebIQ,https://music.youtube.com/watch?v=_2IkG2OebIQ,not_found,0.0000,,,
DJ Cummerbund,King Nobody,1883,BDFmUz0Njio,https://music.youtube.com/watch?v=BDFmUz0Njio,not_found,0.0000,,,
DJ Cummerbund,A Thousand Rapes,1884,QgAiN5NYlB4,https://music.youtube.com/watch?v=QgAiN5NYlB4,not_found,0.0000,,,
DJ Cummerbund,Long Train Culting,1885,0e5sPNm71fM,https://music.youtube.com/watch?v=0e5sPNm71fM,not_found,0.0000,,,
DJ Cummerbund,"Earth, Sand & Fire",1886,d6R8YpIC78Y,https://music.youtube.com/watch?v=d6R8YpIC78Y,not_found,0.0000,,,
DJ Cummerbund,Old Staind Road,1887,xTKlizBS9eA,https://music.youtube.com/watch?v=xTKlizBS9eA,not_found,0.0000,,,
avbbav,"Ледокол ""Красин",1891,DorEhjyK_eA,https://music.youtube.com/watch?v=DorEhjyK_eA,not_found,0.0000,,,
Реквием Моцарта (Requiem de Mozart,Lacrimosa - Karl Böhm - Sinfónica de Viena),1892,MlAuHoRXLes,https://music.youtube.com/watch?v=MlAuHoRXLes,not_found,0.0000,,,
Infernum,Royal Noises from Dead Kingdoms: The Music of Double King #06 - Felix Colgrave,1893,v0TWuQVUKLk,https://music.youtube.com/watch?v=v0TWuQVUKLk,not_found,0.0000,,,
Journey,Don't Stop Believin' But It's Dig by Mudvayne,1896,QK-boYW3CfA,https://music.youtube.com/watch?v=QK-boYW3CfA,not_found,0.0000,,,
Mudvayne,Dig live ozzfest,1899,G7LNWX3pU74,https://music.youtube.com/watch?v=G7LNWX3pU74,not_found,0.0000,,,
Mudvayne,Dig [CHIPMUNK Version],1910,3moq63pisjQ,https://music.youtube.com/watch?v=3moq63pisjQ,not_found,0.0000,,,
Slipknot,Psychosocial But It's Sexyback by Justin Timberlake,1916,o-vHiR-GCzs,https://music.youtube.com/watch?v=o-vHiR-GCzs,not_found,0.0000,,,
ВИА ГРА,Поцелуи,1919,kIaMS8i-2L0,https://music.youtube.com/watch?v=kIaMS8i-2L0,not_found,0.0000,,,
Gipsy Kings,No Volvere ( Amor Mio) / Un Amor,1920,Md2r0Fmpps0,https://music.youtube.com/watch?v=Md2r0Fmpps0,manual_reject_broader,,,,
