normalized_artists,normalized_title,source_position,video_id,video_url,original_artists,original_title,album,duration_seconds,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,tempo,time_sig,key_of,mode,open_key,danceability,acousticness,match_score,match_status
Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair) (Single Version),227,UBExi-V4r80,https://music.youtube.com/watch?v=UBExi-V4r80,Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair) (Single Version),San Francisco,179,yPwWnz,San Francisco (Be Sure to Wear Flowers in Your Hair),Scott McKenzie,https://getsongbpm.com/song/san-francisco-be-sure-to-wear-flowers-in-your-hair/yPwWnz,113,4/4,G,major,2d,57,43,0.9208,matched
Shirley Bassey,(Where Do I Begin) Love Story,229,QzrFE8Geq_8,https://music.youtube.com/watch?v=QzrFE8Geq_8,Shirley Bassey,(Where Do I Begin) Love Story,The Singles,198,xk7oLz,(Where Do I Begin) Love Story,Shirley Bassey,https://getsongbpm.com/song/where-do-i-begin-love-story/xk7oLz,94,4/4,Dm,minor,12m,39,64,0.9657,matched
Behemoth,We Are the Next 1000 Years,234,OHeerXT7vyY,https://music.youtube.com/watch?v=OHeerXT7vyY,Behemoth,We Are the Next 1000 Years,I Loved You at Your Darkest,204,k2AZkK,We Are the Next 1000 Years,Behemoth,https://getsongbpm.com/song/we-are-the-next-1000-years/k2AZkK,168,3/4,D,major,3d,10,1,1.0000,matched
Septicflesh,The Vampire from Nazareth,236,L2HkiP45ajY,https://music.youtube.com/watch?v=L2HkiP45ajY,Septicflesh,The Vampire from Nazareth,The Great Mass,249,48AQjJ,The Vampire From Nazareth,Septicflesh,https://getsongbpm.com/song/the-vampire-from-nazareth/48AQjJ,105,4/4,C,major,1d,51,1,1.0000,matched
Deftones,Risk,242,RyQh66_YMrQ,https://music.youtube.com/watch?v=RyQh66_YMrQ,Deftones,Risk,Diamond Eyes (Deluxe),219,qjXNQr,Risk,Deftones,https://getsongbpm.com/song/risk/qjXNQr,119,4/4,D,major,3d,37,1,0.9904,matched
Andy Williams,I Won't Last a Day Without You,243,X_0RjEFEJgk,https://music.youtube.com/watch?v=X_0RjEFEJgk,Andy Williams,I Won't Last a Day Without You,The Way We Were,317,ER8gvl,I Won't Last a Day Without You,Andy Williams,https://getsongbpm.com/song/i-won-t-last-a-day-without-you/ER8gvl,100,4/4,D♯m,minor,7m,51,84,0.9904,matched
Deftones,Kimdracula,244,WLO2fppkO14,https://music.youtube.com/watch?v=WLO2fppkO14,Deftones,Kimdracula,Saturday Night Wrist,195,BBXj5W,Kimdracula,Deftones,https://getsongbpm.com/song/kimdracula/BBXj5W,152,4/4,F♯m,minor,4m,30,1,1.0000,matched
Superheaven,Around The Railing,245,_c64sDEjbh8,https://music.youtube.com/watch?v=_c64sDEjbh8,Superheaven,Around The Railing,Jar,310,jqGNWz,Around the Railing,Superheaven,https://getsongbpm.com/song/around-the-railing/jqGNWz,138,4/4,C♯,major,8d,49,1,1.0000,matched
Black Label Society,Love Reign Down,270,SneTkr9rj9Y,https://music.youtube.com/watch?v=SneTkr9rj9Y,Black Label Society,Love Reign Down,Stronger Than Death,485,w0kR8,Love Reign Down,Black Label Society,https://getsongbpm.com/song/love-reign-down/w0kR8,135,4/4,D,major,3d,30,1,1.0000,matched
Meshuggah,Bleed,274,GTbYuIKibk4,https://music.youtube.com/watch?v=GTbYuIKibk4,Meshuggah,Bleed,ObZen,443,OYKgoE,Bleed,Meshuggah,https://getsongbpm.com/song/bleed/OYKgoE,114,4/4,C♯m,minor,5m,25,1,1.0000,matched
