normalized_artists,normalized_title,source_position,video_id,video_url,original_artists,original_title,album,duration_seconds,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,tempo,time_sig,key_of,mode,open_key,danceability,acousticness,match_score,match_status
Europe,Carrie,510,upH1x4TsGNQ,https://music.youtube.com/watch?v=upH1x4TsGNQ,Europe,Carrie,The Final Countdown (Expanded Edition),273,gpVNj,Carrie,Europe,https://getsongbpm.com/song/carrie/gpVNj,68,4/4,G,major,2d,46,12,0.9904,matched
Cocteau Twins,Pandora (for Cindy),511,LCaNDUcqHlQ,https://music.youtube.com/watch?v=LCaNDUcqHlQ,Cocteau Twins,Pandora (for Cindy),Treasure,336,pY0py,Pandora (For Cindy),Cocteau Twins,https://getsongbpm.com/song/pandora-for-cindy/pY0py,158,3/4,C,major,1d,45,26,1.0000,matched
Behemoth,God = Dog,513,F3AElY9gCSM,https://music.youtube.com/watch?v=F3AElY9gCSM,Behemoth,God = Dog,I Loved You at Your Darkest,239,oZGQoA,God = Dog,Behemoth,https://getsongbpm.com/song/god-dog/oZGQoA,130,4/4,F♯,major,7d,39,1,1.0000,matched
Disturbed,Stricken,515,VVLAnjtpXeM,https://music.youtube.com/watch?v=VVLAnjtpXeM,Disturbed,Stricken,Ten Thousand Fists,246,kRQZBx,Stricken,Disturbed,https://getsongbpm.com/song/stricken/kRQZBx,86,4/4,Cm,minor,10m,41,1,1.0000,matched
Powerwolf,In the Name of God (Deus Vult),520,EKOXzF8jSsA,https://music.youtube.com/watch?v=EKOXzF8jSsA,Powerwolf,In the Name of God (Deus Vult),Preachers of the Night,196,jZRwo5,In the Name of God (Deus Vult),Powerwolf,https://getsongbpm.com/song/in-the-name-of-god-deus-vult/jZRwo5,149,4/4,A♯m,minor,8m,31,1,1.0000,matched
Pastel Ghost,Dark Beach,540,g78_lRoomcE,https://music.youtube.com/watch?v=g78_lRoomcE,Pastel Ghost,Dark Beach,Abyss,222,mOKwEn,DARK BEACH,PASTEL GHOST,https://getsongbpm.com/song/dark-beach/mOKwEn,130,4/4,G,major,2d,53,34,1.0000,matched
Trevor Something,The Ghost,544,AGa0kwNBLo0,https://music.youtube.com/watch?v=AGa0kwNBLo0,Trevor Something,The Ghost,Deep Wave Data Dark Web Daemons,243,162553,The Ghost,Trevor Something,https://getsongbpm.com/song/the-ghost/162553,131,4/4,C♯,major,8d,63,15,1.0000,matched
The Doors,The Spy,546,eyjZUR5-tdY,https://music.youtube.com/watch?v=eyjZUR5-tdY,The Doors,The Spy,Morrison Hotel,256,yrRG5W,The Spy,The Doors,https://getsongbpm.com/song/the-spy/yrRG5W,80,4/4,D,major,3d,48,22,1.0000,matched
Meshuggah,Obzen,549,bzZbTOhoOfM,https://music.youtube.com/watch?v=bzZbTOhoOfM,Meshuggah,Obzen,ObZen,265,QWMkq5,obZen,Meshuggah,https://getsongbpm.com/song/obzen/QWMkq5,85,4/4,F,major,12d,17,1,1.0000,matched
Dope,Always,551,b8mo2TJFIQ0,https://music.youtube.com/watch?v=b8mo2TJFIQ0,Dope,Always,American Apathy,197,lYvl8J,Always,Dope,https://getsongbpm.com/song/always/lYvl8J,99,4/4,F♯,major,7d,40,1,1.0000,matched
Dope,Slipping Away,554,pQZvDAyr2qw,https://music.youtube.com/watch?v=pQZvDAyr2qw,Dope,Slipping Away,Life,183,8M3Lr,Slipping Away,Dope,https://getsongbpm.com/song/slipping-away/8M3Lr,130,4/4,G♯,major,9d,55,1,1.0000,matched
Dope,I'm Back,555,S-uzJDL7Pdc,https://music.youtube.com/watch?v=S-uzJDL7Pdc,Dope,I'm Back,American Apathy,206,gJxO7l,I'm Back,Dope,https://getsongbpm.com/song/i-m-back/gJxO7l,129,4/4,C,major,1d,57,1,1.0000,matched
Queen,The Show Must Go On,562,3O0D6MvWFf4,https://music.youtube.com/watch?v=3O0D6MvWFf4,Queen,The Show Must Go On,Greatest Hits II,264,g5X4D,The Show Must Go On,Queen,https://getsongbpm.com/song/the-show-must-go-on/g5X4D,83,4/4,Bm,minor,3m,43,43,0.9267,matched
Pink Floyd,Hey You,567,MN09OQZ2ZoQ,https://music.youtube.com/watch?v=MN09OQZ2ZoQ,Pink Floyd,Hey You,Echoes: The Best of Pink Floyd,280,nZ2vED,Hey You,Celtic Pink Floyd,https://getsongbpm.com/song/hey-you/nZ2vED,112,4/4,Em,minor,2m,52,13,0.9287,matched
Mariah Carey,Without You,572,v8H-MXjRB2Y,https://music.youtube.com/watch?v=v8H-MXjRB2Y,Mariah Carey,Without You,Music Box,216,JZ21g,Without You,Mariah Carey,https://getsongbpm.com/song/without-you/JZ21g,62,4/4,F♯,major,7d,58,33,1.0000,matched
Enigma,Invisible Love,574,X_Aygw6fWpY,https://music.youtube.com/watch?v=X_Aygw6fWpY,Enigma,Invisible Love,A Posteriori,296,wpgwpz,Invisible Love,Enigma,https://getsongbpm.com/song/invisible-love/wpgwpz,95,4/4,Am,minor,1m,68,73,1.0000,matched
Snowy White; The White Flames,Riding the Blues,576,-9Teye6IHYM,https://music.youtube.com/watch?v=-9Teye6IHYM,Snowy White; The White Flames,Riding the Blues,Realistic,227,1j0XrZ,Riding the Blues,Snowy White & The White Flames,https://getsongbpm.com/song/riding-the-blues/1j0XrZ,127,4/4,Em,minor,2m,44,51,0.9592,matched
Urfaust,Trail of Conscience of the Dead,579,iY_uUmjJJ68,https://music.youtube.com/watch?v=iY_uUmjJJ68,Urfaust,Trail of Conscience of the Dead,The Constellatory Practice,765,QvlKqY,Trail of Conscience of the Dead,Urfaust,https://getsongbpm.com/song/trail-of-conscience-of-the-dead/QvlKqY,,,m,minor,,,,1.0000,matched
Killswitch Engage,Unleashed,581,QLNYibN7098,https://music.youtube.com/watch?v=QLNYibN7098,Killswitch Engage,Unleashed,Atonement,276,Rlp0wL,Unleashed,Killswitch Engage,https://getsongbpm.com/song/unleashed/Rlp0wL,120,4/4,G,major,2d,54,1,1.0000,matched
Frank Sinatra; Luciano Pavarotti,My Way,591,qkesWsIqP0Y,https://music.youtube.com/watch?v=qkesWsIqP0Y,Frank Sinatra; Luciano Pavarotti,My Way,My Way (50th Anniversary Edition),213,rPwrk,My Way,Frank Sinatra,https://getsongbpm.com/song/my-way/rPwrk,150,4/4,D,major,3d,28,40,0.9904,matched
Rotting Christ,Devadevam,592,1KJa-8UInos,https://music.youtube.com/watch?v=1KJa-8UInos,Rotting Christ,Devadevam,Rituals,319,pZLj3m,देवदेवं (Devadevam),Rotting Christ,https://getsongbpm.com/song/tha-vatha-va-devadevam/pZLj3m,,,m,minor,,,,0.9304,matched
Queen,A Kind Of Magic,594,ETIXhgZWHgg,https://music.youtube.com/watch?v=ETIXhgZWHgg,Queen,A Kind Of Magic,A Kind Of Magic,265,oYJoA,A Kind of Magic,Queen,https://getsongbpm.com/song/a-kind-of-magic/oYJoA,129,4/4,A,major,4d,68,3,1.0000,matched
Laura Branigan,Self Control,595,Ucmo6hDZRSY,https://music.youtube.com/watch?v=Ucmo6hDZRSY,Laura Branigan,Self Control,Self Control,247,qAo1y,Self Control,Laura Branigan,https://getsongbpm.com/song/self-control/qAo1y,108,4/4,F♯m,minor,4m,82,22,1.0000,matched
Korn,Twist,596,bIIFmhtceDA,https://music.youtube.com/watch?v=bIIFmhtceDA,Korn,Twist,Life Is Peachy,50,O7gjr,Twist,Korn,https://getsongbpm.com/song/twist/O7gjr,83,4/4,C♯m,minor,5m,56,40,1.0000,matched
The HU,Wolf Totem,601,jpsUPdNthGY,https://music.youtube.com/watch?v=jpsUPdNthGY,The HU,Wolf Totem,The Gereg (Deluxe Edition),338,08w51L,Wolf Totem,The HU,https://getsongbpm.com/song/wolf-totem/08w51L,172,4/4,G♯,major,9d,56,9,0.9904,matched
Gennadi Tumat,Sygyt,602,WvpzhQC9ohI,https://music.youtube.com/watch?v=WvpzhQC9ohI,pansdelight,Gennadi Tumat - Sygyt,,189,Q0k4V9,Sygyt,Gennadi Tumat,https://getsongbpm.com/song/sygyt/Q0k4V9,113,4/4,F,major,12d,35,99,1.0000,matched
Tame Impala,Breathe Deeper,606,ucrhTx1hGJQ,https://music.youtube.com/watch?v=ucrhTx1hGJQ,Tame Impala,Breathe Deeper,The Slow Rush,373,J8LnJD,Breathe Deeper,Tame Impala,https://getsongbpm.com/song/breathe-deeper/J8LnJD,104,4/4,Bm,minor,3m,67,3,1.0000,matched
Deftones,Passenger,614,uTen4lcHVAo,https://music.youtube.com/watch?v=uTen4lcHVAo,Deftones,Passenger,White Pony,369,Bg1GW,Passenger,Deftones,https://getsongbpm.com/song/passenger/Bg1GW,117,4/4,C,major,1d,35,1,1.0000,matched
Behemoth,"Alas, Lord Is Upon Me",616,5aQxOpqPyD0,https://music.youtube.com/watch?v=5aQxOpqPyD0,Behemoth,"Alas, Lord Is Upon Me",Evangelion,196,GZR1kL,"Alas, Lord Is Upon Me",Behemoth,https://getsongbpm.com/song/alas-lord-is-upon-me/GZR1kL,130,4/4,G♯,major,9d,45,1,1.0000,matched
Vaya Con Dios,Nah Neh Nah,623,hPXCwmZd9-o,https://music.youtube.com/watch?v=hPXCwmZd9-o,Vaya Con Dios,Nah Neh Nah,Night Owls,175,O7gZp,Nah Neh Nah,Vaya Con Dios,https://getsongbpm.com/song/nah-neh-nah/O7gZp,111,4/4,F♯,major,7d,67,47,1.0000,matched
Behemoth,O Father O Satan O Sun!,624,NfFSl2DUojc,https://music.youtube.com/watch?v=NfFSl2DUojc,Behemoth,O Father O Satan O Sun!,The Satanist,434,3QORPp,O Father O Satan O Sun!,Behemoth,https://getsongbpm.com/song/o-father-o-satan-o-sunexclamation/3QORPp,83,4/4,C♯,major,8d,16,1,1.0000,matched
Daft Punk; Panda Bear,Doin' it Right (feat. Panda Bear),626,wmSkU6R9Zi8,https://music.youtube.com/watch?v=wmSkU6R9Zi8,Daft Punk; Panda Bear,Doin' it Right (feat. Panda Bear),Random Access Memories,252,L8NZ0j,Doin' It Right,Daft Punk,https://getsongbpm.com/song/doin-it-right/L8NZ0j,178,4/4,F♯,major,7d,81,39,1.0000,matched
Ratatat,Loud Pipes,629,BcoPKWzLjrE,https://music.youtube.com/watch?v=BcoPKWzLjrE,Ratatat,Loud Pipes,Classics,227,qx69gy,Loud Pipes,Ratatat,https://getsongbpm.com/song/loud-pipes/qx69gy,87,4/4,Gm,minor,11m,72,11,1.0000,matched
Tears For Fears,Everybody Wants To Rule The World,633,64dNZCSAe3o,https://music.youtube.com/watch?v=64dNZCSAe3o,Tears For Fears,Everybody Wants To Rule The World,Classic 80's,252,rXL8L,Everybody Wants to Rule the World,Tears for Fears,https://getsongbpm.com/song/everybody-wants-to-rule-the-world/rXL8L,112,4/4,D,major,3d,64,38,0.9355,matched
Freddie Mercury; Montserrat Caballé,How Can I Go On (Single Version),634,Zp1NTxsPJZc,https://music.youtube.com/watch?v=Zp1NTxsPJZc,Freddie Mercury; Montserrat Caballé,How Can I Go On (Single Version),Messenger Of The Gods: The Singles Collection,243,l8YKg,How Can I Go On,Freddie Mercury,https://getsongbpm.com/song/how-can-i-go-on/l8YKg,82,4/4,G,major,2d,40,50,0.8646,matched
Supertramp,The Logical Song,635,1E5zQcZzJpE,https://music.youtube.com/watch?v=1E5zQcZzJpE,Supertramp,The Logical Song,Retrospectacle - The Supertramp Anthology,249,JZ56g,The Logical Song,Supertramp,https://getsongbpm.com/song/the-logical-song/JZ56g,119,4/4,Cm,minor,10m,63,52,0.9404,matched
Daft Punk,Around the World,639,Jb6gcoR266U,https://music.youtube.com/watch?v=Jb6gcoR266U,Daft Punk,Around the World,Homework,430,j2PvW,Around the World,Daft Punk,https://getsongbpm.com/song/around-the-world/j2PvW,122,4/4,G,major,2d,96,1,1.0000,matched
The Weeknd,Save Your Tears,640,tEeK40cjmkw,https://music.youtube.com/watch?v=tEeK40cjmkw,The Weeknd,Save Your Tears,After Hours,216,79jOOj,Save Your Tears,The Weeknd,https://getsongbpm.com/song/save-your-tears/79jOOj,117,4/4,C,major,1d,68,3,1.0000,matched
Daft Punk; Pharrell Williams; Nile Rodgers,Get Lucky (feat. Pharrell Williams and Nile Rodgers),641,4D7u5KF7SP8,https://music.youtube.com/watch?v=4D7u5KF7SP8,Daft Punk; Pharrell Williams; Nile Rodgers,Get Lucky (feat. Pharrell Williams and Nile Rodgers),Random Access Memories,370,E9Dq14,Get Lucky,Daft Punk,https://getsongbpm.com/song/get-lucky/E9Dq14,116,4/4,F♯m,minor,4m,80,5,1.0000,matched
Kansas,Dust in the Wind,647,9fNrJMkTWEE,https://music.youtube.com/watch?v=9fNrJMkTWEE,Kansas,Dust in the Wind,Point Of Know Return (Expanded Edition),207,L8vyw,Dust in the Wind,Kansas,https://getsongbpm.com/song/dust-in-the-wind/L8vyw,186,4/4,G,major,2d,48,37,0.9904,matched
Home,Resonance,652,aBhrEv5Z7uc,https://music.youtube.com/watch?v=aBhrEv5Z7uc,Home,Resonance,Odyssey,213,GRW2ny,Resonance,HOME,https://getsongbpm.com/song/resonance/GRW2ny,170,5/4,G♯,major,9d,57,4,1.0000,matched
The Drums,Money,653,q5go1dovoeM,https://music.youtube.com/watch?v=q5go1dovoeM,The Drums,Money,Portamento,234,66kroO,Money,The Drums,https://getsongbpm.com/song/money/66kroO,103,4/4,Em,minor,2m,61,22,1.0000,matched
Billy Idol,Eyes Without A Face,655,e7U1YZNgwnY,https://music.youtube.com/watch?v=e7U1YZNgwnY,Billy Idol,Eyes Without A Face,Rebel Yell,300,mEoR3,Eyes Without a Face,Billy Idol,https://getsongbpm.com/song/eyes-without-a-face/mEoR3,84,4/4,G♯m,minor,6m,40,2,1.0000,matched
Wolfheart,Born from Fire,658,3Lhe4uYEW2g,https://music.youtube.com/watch?v=3Lhe4uYEW2g,Wolfheart,Born from Fire,Wolves of Karelia,313,NON1Vm,Born from Fire,Wolfheart,https://getsongbpm.com/song/born-from-fire/NON1Vm,89,4/4,D,major,3d,18,1,1.0000,matched
Bag Raiders,Shooting Stars,660,mllzzUjMezU,https://music.youtube.com/watch?v=mllzzUjMezU,Bag Raiders,Shooting Stars,Bag Raiders (Deluxe),236,VmMD91,Shooting Stars,Bag Raiders,https://getsongbpm.com/song/shooting-stars/VmMD91,123,4/4,G♯m,minor,6m,64,10,0.9904,matched
Junior Jack,E Samba,661,Ww1WMaeIJks,https://music.youtube.com/watch?v=Ww1WMaeIJks,Junior Jack,E Samba,Trust It,397,w8GAX,E Samba,Junior Jack,https://getsongbpm.com/song/e-samba/w8GAX,124,4/4,G,major,2d,64,1,1.0000,matched
Billy Idol,Rebel Yell,662,seHlHzYpWBU,https://music.youtube.com/watch?v=seHlHzYpWBU,Billy Idol,Rebel Yell,Rebel Yell,289,komQv,Rebel Yell,Billy Idol,https://getsongbpm.com/song/rebel-yell/komQv,166,4/4,Bm,minor,3m,53,1,1.0000,matched
Modjo,Lady (Hear Me Tonight),669,MR3uP7IYz44,https://music.youtube.com/watch?v=MR3uP7IYz44,Modjo,Lady (Hear Me Tonight),Modjo,308,G6vJ98,Lady (Hear Me Tonight),Modjo,https://getsongbpm.com/song/lady-hear-me-tonight/G6vJ98,126,4/4,A♯m,minor,8m,74,1,1.0000,matched
Coldplay,Yellow,672,9qnqYL0eNNI,https://music.youtube.com/watch?v=9qnqYL0eNNI,Coldplay,Yellow,Parachutes,267,E9o7OK,Yellow,Coldplay,https://getsongbpm.com/song/yellow/E9o7OK,86,4/4,B,major,6d,43,1,1.0000,matched
Korn,Rotting In Vain,673,3N6YbsRxTf8,https://music.youtube.com/watch?v=3N6YbsRxTf8,Korn,Rotting In Vain,The Serenity of Suffering,213,A6z2Y3,Rotting in Vain,Korn,https://getsongbpm.com/song/rotting-in-vain/A6z2Y3,106,4/4,A,major,4d,47,1,1.0000,matched
Rotting Christ,Threnody,674,oUC5fwFBoMk,https://music.youtube.com/watch?v=oUC5fwFBoMk,Rotting Christ,Threnody,Theogonia,319,mZ6mMp,Threnody,Rotting Christ,https://getsongbpm.com/song/threnody/mZ6mMp,91,4/4,G,major,2d,40,1,1.0000,matched
Infant Annihilator,Neutered in Utero,675,L6nGeCAIIuk,https://music.youtube.com/watch?v=L6nGeCAIIuk,Infant Annihilator,Neutered in Utero,The Elysian Grandeval Galèriarch,287,qQqWny,Neutered in Utero,Infant Annihilator,https://getsongbpm.com/song/neutered-in-utero/qQqWny,117,4/4,Bm,minor,3m,28,1,1.0000,matched
Meshuggah,Behind the Sun,679,gGE0PJ0OHrQ,https://music.youtube.com/watch?v=gGE0PJ0OHrQ,Meshuggah,Behind the Sun,Koloss,375,Xo7vM5,Behind the Sun,Meshuggah,https://getsongbpm.com/song/behind-the-sun/Xo7vM5,96,4/4,Fm,minor,9m,18,1,1.0000,matched
Infant Annihilator,Flayed and Consumed (feat. Lucas Mann),680,rmiTpFO-Vis,https://music.youtube.com/watch?v=rmiTpFO-Vis,Infant Annihilator,Flayed and Consumed (feat. Lucas Mann),The Palpable Leprosy of Pollution,173,5922Xq,Flayed and Consumed,Infant Annihilator,https://getsongbpm.com/song/flayed-and-consumed/5922Xq,120,4/4,B,major,6d,29,1,1.0000,matched
Frank Sinatra,My Way Of Life,682,X3r7GD0R56s,https://music.youtube.com/watch?v=X3r7GD0R56s,Frank Sinatra,My Way Of Life,Cycles,188,APjomO,My Way of Life,Frank Sinatra,https://getsongbpm.com/song/my-way-of-life/APjomO,88,4/4,A♯m,minor,8m,30,50,1.0000,matched
Engelbert Humperdinck,A Man Without Love,683,o0WWaA3oFa4,https://music.youtube.com/watch?v=o0WWaA3oFa4,Engelbert Humperdinck,A Man Without Love,A Man Without Love,204,9QBlwY,A Man Without Love,Engelbert Humperdinck,https://getsongbpm.com/song/a-man-without-love/9QBlwY,111,4/4,D,major,3d,54,64,1.0000,matched
Ben E. King,Stand By Me,684,eJ4i-QbXG54,https://music.youtube.com/watch?v=eJ4i-QbXG54,Ben E. King,Stand By Me,The Very Best of Ben E. King,175,QW5qY7,Stand by Me,Ben E. King,https://getsongbpm.com/song/stand-by-me/QW5qY7,116,4/4,A,major,4d,65,57,0.9467,matched
Frank Sinatra,The World We Knew (Over And Over),685,dthgRdTf0Ds,https://music.youtube.com/watch?v=dthgRdTf0Ds,Frank Sinatra,The World We Knew (Over And Over),The World We Knew,168,n5VL2E,The World We Knew (Over and Over),Frank Sinatra,https://getsongbpm.com/song/the-world-we-knew-over-and-over/n5VL2E,93,3/4,A♯m,minor,8m,29,78,1.0000,matched
Julee Cruise,Falling,686,KkR6Jd0Agi4,https://music.youtube.com/watch?v=KkR6Jd0Agi4,Julee Cruise,Falling,Soundtrack From Twin Peaks,322,D1ADy,Falling,Julee Cruise,https://getsongbpm.com/song/falling/D1ADy,72,4/4,F,major,12d,20,90,0.9378,matched
Mudvayne,Skrying,687,KAsdhAwQefk,https://music.youtube.com/watch?v=KAsdhAwQefk,Mudvayne,Skrying,The End Of All Things To Come,338,LJKw4,Skrying,Mudvayne,https://getsongbpm.com/song/skrying/LJKw4,94,4/4,G♯,major,9d,36,1,1.0000,matched
HIM,For You,690,wtF58gte6Zo,https://music.youtube.com/watch?v=wtF58gte6Zo,HIM,For You,Greatest Love Songs Vol. 666,239,ARBxB,For You,HIM,https://getsongbpm.com/song/for-you/ARBxB,200,4/4,Em,minor,2m,19,2,0.9985,matched
Rammstein,Ohne dich,691,60ZFYYqIzIQ,https://music.youtube.com/watch?v=60ZFYYqIzIQ,Rammstein,Ohne dich,"Reise, Reise",272,5kDAX,Ohne dich,Rammstein,https://getsongbpm.com/song/ohne-dich/5kDAX,136,4/4,Dm,minor,12m,41,1,1.0000,matched
Deftones,Change (In the House of Flies),693,hzRltUL5M3k,https://music.youtube.com/watch?v=hzRltUL5M3k,Deftones,Change (In the House of Flies),White Pony,300,DRwK5,Change (In the House of Flies),Deftones,https://getsongbpm.com/song/change-in-the-house-of-flies/DRwK5,70,4/4,Gm,minor,11m,27,1,1.0000,matched
Bon Jovi,I'll Be There For You,694,fhnfcHSPrfw,https://music.youtube.com/watch?v=fhnfcHSPrfw,Bon Jovi,I'll Be There For You,New Jersey,347,xGmBl,I'll Be There for You,Bon Jovi,https://getsongbpm.com/song/i-ll-be-there-for-you/xGmBl,73,4/4,D,major,3d,44,6,1.0000,matched
Cutting Crew,(I Just) Died In Your Arms,695,2wf-MNzSbpA,https://music.youtube.com/watch?v=2wf-MNzSbpA,Cutting Crew,(I Just) Died In Your Arms,Broadcast,281,pRBgN,(I Just) Died in Your Arms,Cutting Crew,https://getsongbpm.com/song/i-just-died-in-your-arms/pRBgN,123,4/4,Bm,minor,3m,64,2,1.0000,matched
HIM,Wicked game,699,aMHhkiPPnXE,https://music.youtube.com/watch?v=aMHhkiPPnXE,HIM,Wicked game,Razorblade Romance,245,qgO93,Wicked Game,HIM,https://getsongbpm.com/song/wicked-game/qgO93,117,4/4,A,major,4d,52,1,0.9382,matched
ABBA,Dancing Queen,704,YkLLcIKhJ64,https://music.youtube.com/watch?v=YkLLcIKhJ64,ABBA,Dancing Queen,Arrival,231,RoGw0E,Dancing Queen,ABBA,https://getsongbpm.com/song/dancing-queen/RoGw0E,99,4/4,A,major,4d,54,39,1.0000,matched
Journey,Don't Stop Believin,709,oZHJP14BVRs,https://music.youtube.com/watch?v=oZHJP14BVRs,Journey,Don't Stop Believin',BBQ Classics,250,J8Bryl,Don't Stop Believin',Journey,https://getsongbpm.com/song/don-t-stop-believin/J8Bryl,119,4/4,E,major,5d,50,25,1.0000,matched
Foreigner,Cold as Ice,710,a0T4nyB9k88,https://music.youtube.com/watch?v=a0T4nyB9k88,Foreigner,Cold as Ice,Foreigner (Expanded),204,j2wJW,Cold as Ice,Foreigner,https://getsongbpm.com/song/cold-as-ice/j2wJW,129,4/4,D♯m,minor,7m,52,10,0.9904,matched
Gojira,Oroborus,719,BfDaJREgrw0,https://music.youtube.com/watch?v=BfDaJREgrw0,Gojira,Oroborus,The Way of All Flesh,322,n5Lq8D,Oroborus,Gojira,https://getsongbpm.com/song/oroborus/n5Lq8D,136,4/4,Gm,minor,11m,40,1,1.0000,matched
Arctic Monkeys,Do I Wanna Know?,720,pqrUQrAcfo4,https://music.youtube.com/watch?v=pqrUQrAcfo4,Arctic Monkeys,Do I Wanna Know?,AM,273,yolxzE,Do I Wanna Know?,Arctic Monkeys,https://getsongbpm.com/song/do-i-wanna-knowquestion/yolxzE,86,4/4,Gm,minor,11m,55,19,1.0000,matched
Men At Work,Who Can It Be Now?,725,Lc1Ll-euRSg,https://music.youtube.com/watch?v=Lc1Ll-euRSg,Men At Work,Who Can It Be Now?,Business As Usual,202,WP13n,Who Can It Be Now?,Men at Work,https://getsongbpm.com/song/who-can-it-be-nowquestion/WP13n,129,4/4,C♯m,minor,5m,81,5,1.0000,matched
Tame Impala,Is It True,739,JbKr2jRN3rQ,https://music.youtube.com/watch?v=JbKr2jRN3rQ,Tame Impala,Is It True,The Slow Rush,240,NOPrNL,Is It True,Tame Impala,https://getsongbpm.com/song/is-it-true/NOPrNL,117,4/4,C,major,1d,74,1,1.0000,matched
Tame Impala,Let It Happen,741,NMRhx71bGo4,https://music.youtube.com/watch?v=NMRhx71bGo4,Tame Impala,Let It Happen,Currents,468,OM10qR,Let It Happen,Tame Impala,https://getsongbpm.com/song/let-it-happen/OM10qR,123,4/4,C♯m,minor,5m,61,1,1.0000,matched
The Stranglers,Golden Brown,742,UZJFFStQemI,https://music.youtube.com/watch?v=UZJFFStQemI,The Stranglers,Golden Brown,La Folie,207,xv4kyn,Golden Brown,The Stranglers,https://getsongbpm.com/song/golden-brown/xv4kyn,93,3/4,F♯,major,7d,57,15,1.0000,matched
Dreaming Cooper,Crystal Cave,756,hK6mpUXTIGE,https://music.youtube.com/watch?v=hK6mpUXTIGE,Dreaming Cooper,Crystal Cave,Mysterious Places,453,z6DK5q,Crystal Cave,Dreaming Cooper,https://getsongbpm.com/song/crystal-cave/z6DK5q,170,4/4,F♯m,minor,4m,47,36,1.0000,matched
Cream,Sunshine Of Your Love,759,y_u1eu6Lpds,https://music.youtube.com/watch?v=y_u1eu6Lpds,Cream,Sunshine Of Your Love,Disraeli Gears (Deluxe Edition),251,YE2Kp,Sunshine of Your Love,Cream,https://getsongbpm.com/song/sunshine-of-your-love/YE2Kp,117,4/4,D,major,3d,69,48,0.9904,matched
E-Mantra,Silence,761,6rTcdOeedSg,https://music.youtube.com/watch?v=6rTcdOeedSg,E-Mantra,Silence,Silence,345,1rOBEV,Silence,e-mantra,https://getsongbpm.com/song/silence/1rOBEV,159,4/4,G,major,2d,54,52,1.0000,matched
Foreigner,That Was Yesterday,763,nrqPZFNrqCA,https://music.youtube.com/watch?v=nrqPZFNrqCA,Foreigner,That Was Yesterday,Agent Provocateur,230,MQEJL3,That Was Yesterday,Foreigner,https://getsongbpm.com/song/that-was-yesterday/MQEJL3,114,4/4,G♯m,minor,6m,44,5,1.0000,matched
Dojo Cuts,I'd Rather Go Blind (feat. Roxie Ray),764,xEyqEIYJnYk,https://music.youtube.com/watch?v=xEyqEIYJnYk,Dojo Cuts,I'd Rather Go Blind (feat. Roxie Ray),Take from Me (feat. Roxie Ray),187,4R4xvx,I'd Rather Go Blind,Dojo Cuts,https://getsongbpm.com/song/i-d-rather-go-blind/4R4xvx,148,3/4,Bm,minor,3m,67,52,1.0000,matched
Amy Winehouse,Back To Black,765,rbBbQ-jldvQ,https://music.youtube.com/watch?v=rbBbQ-jldvQ,Amy Winehouse,Back To Black,Back To Black,241,qxpOvD,Back to Black,Amy Winehouse,https://getsongbpm.com/song/back-to-black/qxpOvD,124,4/4,Dm,minor,12m,49,13,1.0000,matched
Kings Of Leon,Sex on Fire,766,EOjm4SEDMu8,https://music.youtube.com/watch?v=EOjm4SEDMu8,Kings Of Leon,Sex on Fire,Only By The Night,204,G6LQD3,Sex on Fire,Kings of Leon,https://getsongbpm.com/song/sex-on-fire/G6LQD3,152,4/4,E,major,5d,55,1,1.0000,matched
Amy Winehouse,You Know I'm No Good,767,Pr3g9TPPuH4,https://music.youtube.com/watch?v=Pr3g9TPPuH4,Amy Winehouse,You Know I'm No Good,Back To Black,257,n5mLpY,You Know I'm No Good,Amy Winehouse,https://getsongbpm.com/song/you-know-i-m-no-good/n5mLpY,103,4/4,Dm,minor,12m,71,2,1.0000,matched
System Of A Down,Lonely Day,769,Jc6-WXt5iKA,https://music.youtube.com/watch?v=Jc6-WXt5iKA,System Of A Down,Lonely Day,Lonely Day,169,280QzP,Lonely Day,System of a Down,https://getsongbpm.com/song/lonely-day/280QzP,112,3/4,G♯m,minor,6m,47,37,0.9368,matched
Sam Smith,I'm Not The Only One,779,67ibXO8viXE,https://music.youtube.com/watch?v=67ibXO8viXE,Sam Smith,I'm Not The Only One,In The Lonely Hour,240,OMkNWp,I'm Not the Only One,Sam Smith,https://getsongbpm.com/song/i-m-not-the-only-one/OMkNWp,83,4/4,F,major,12d,46,56,1.0000,matched
Cigarettes After Sex,Sunsetz,780,eVRbaYq5Aw4,https://music.youtube.com/watch?v=eVRbaYq5Aw4,Cigarettes After Sex,Sunsetz,Cigarettes After Sex,215,NOvPyp,Sunsetz,Cigarettes After Sex,https://getsongbpm.com/song/sunsetz/NOvPyp,75,4/4,Am,minor,1m,42,6,1.0000,matched
Foreigner,Waiting for a Girl Like You,782,jyQoJZ7-iac,https://music.youtube.com/watch?v=jyQoJZ7-iac,Foreigner,Waiting for a Girl Like You,Soft Summer Rock,290,z677Y,Waiting for a Girl Like You,Foreigner,https://getsongbpm.com/song/waiting-for-a-girl-like-you/z677Y,103,4/4,A♯m,minor,8m,33,31,1.0000,matched
