source_position,video_id,video_url,normalized_artists,normalized_title,original_artists,original_title,album,duration_seconds,key_of,mode,tempo,time_sig,open_key,match_status,match_score,match_reason,metadata_source,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,danceability,acousticness
1,QC0BBgOdspo,https://music.youtube.com/watch?v=QC0BBgOdspo,Rob Zombie,Superbeast,Rob Zombie,Superbeast,Hellbilly Deluxe,221,B,minor,152,4/4,3m,matched,1.0000,,GetSongBPM,zmrY,Superbeast,Rob Zombie,https://getsongbpm.com/song/superbeast/zmrY,50,1
3,jjnt-KS0ozE,https://music.youtube.com/watch?v=jjnt-KS0ozE,System Of A Down,Innervision,System Of A Down,Innervision,Steal This Album!,154,F,minor,120,4/4,9m,matched,1.0000,,GetSongBPM,VNOD9,Innervision,System of a Down,https://getsongbpm.com/song/innervision/VNOD9,45,1
6,eIp2atwDIDY,https://music.youtube.com/watch?v=eIp2atwDIDY,Static-X,Stem,Static-X,Stem,Wisconsin Death Trip,175,C,major,79,4/4,1d,manual_accept_broader,0.9760,,GetSongBPM,Elj3l,Stem,Static‐X,https://getsongbpm.com/song/stem/Elj3l,50,1
7,2t3LgcIOhx8,https://music.youtube.com/watch?v=2t3LgcIOhx8,Mudvayne,Seed,Mudvayne,Seed,The Beginning Of All Things To End,208,D,major,122,4/4,3d,matched,1.0000,,GetSongBPM,L8Q0j,Seed,Mudvayne,https://getsongbpm.com/song/seed/L8Q0j,37,1
8,ACNwMzZejQQ,https://music.youtube.com/watch?v=ACNwMzZejQQ,Lady Gaga,Just Dance (feat. Colby O'Donis),Lady Gaga,Just Dance (feat. Colby O'Donis),The Fame,242,C#,minor,117,4/4,5m,matched,1.0000,,GetSongBPM,xkYWgB,Just Dance,Lady Gaga,https://getsongbpm.com/song/just-dance/xkYWgB,82,4
9,RnkShwdXfyc,https://music.youtube.com/watch?v=RnkShwdXfyc,Eminem,Love The Way You Lie (feat. Rihanna),Eminem,Love The Way You Lie (feat. Rihanna),Recovery,264,A#,major,86,4/4,11d,matched,1.0000,,GetSongBPM,9QOQA4,Love the Way You Lie,Eminem,https://getsongbpm.com/song/love-the-way-you-lie/9QOQA4,75,25
10,CS4w-3IoIbY,https://music.youtube.com/watch?v=CS4w-3IoIbY,Pluffaduff,PromiscuousBack,Pluffaduff,PromiscuousBack,,217,,,,,,missing,,not_found,,,,,,,
12,sgaVOUE3pRM,https://music.youtube.com/watch?v=sgaVOUE3pRM,Serj Tankian,The Unthinking Majority,Serj Tankian,The Unthinking Majority,Elect the Dead,229,G#,major,119,4/4,9d,matched,1.0000,,GetSongBPM,M8lD8G,The Unthinking Majority,Serj Tankian,https://getsongbpm.com/song/the-unthinking-majority/M8lD8G,66,1
13,_bkbq7BBomA,https://music.youtube.com/watch?v=_bkbq7BBomA,Deftones,Pompeji,Deftones,Pompeji,Ohms,326,A,minor,147,3/4,1m,matched,1.0000,,GetSongBPM,x6Z9j9,Pompeji,Deftones,https://getsongbpm.com/song/pompeji/x6Z9j9,25,1
14,Zm_GfzD80hQ,https://music.youtube.com/watch?v=Zm_GfzD80hQ,Current Joys,Blondie,Current Joys,Blondie,Wild Heart,195,,,,,,missing,,manual_reject_broader,,,,,,,
15,GImHu7QWTEY,https://music.youtube.com/watch?v=GImHu7QWTEY,Schmalgauzen,уночі,Schmalgauzen,уночі,уночі,146,,,,,,missing,,not_found,,,,,,,
16,CLiDemXYSLc,https://music.youtube.com/watch?v=CLiDemXYSLc,Radiohead,Spectre,Radiohead,Spectre,Spectre,200,B,minor,98,,,manual_entry,1.0000,,manual,,,,,,
17,uxnPprzGCLY,https://music.youtube.com/watch?v=uxnPprzGCLY,slowme,my curse,slowme,my curse,my curse,136,,,,,,missing,,not_found,,,,,,,
18,Qy9LTRu89FA,https://music.youtube.com/watch?v=Qy9LTRu89FA,Mitski,My Love Mine All Mine,Mitski,My Love Mine All Mine,The Land Is Inhospitable and So Are We,138,A,major,114,,,manual_entry,1.0000,,manual,,,,,,
19,x-ir7VPMuqQ,https://music.youtube.com/watch?v=x-ir7VPMuqQ,Пиріг і Батіг,Ви знаєте як липа шелестить (06.05.1911),Пиріг і Батіг,Ви знаєте як липа шелестить (06.05.1911),Поетичний,169,,,,,,missing,,not_found,,,,,,,
20,QAXkeqs2o9g,https://music.youtube.com/watch?v=QAXkeqs2o9g,Mudvayne,IMN,Mudvayne,IMN,Lost and Found,352,G,major,128,4/4,2d,matched,1.0000,,GetSongBPM,2VPLN,IMN,Mudvayne,https://getsongbpm.com/song/imn/2VPLN,47,1
21,O6jQmBJzolc,https://music.youtube.com/watch?v=O6jQmBJzolc,Mudvayne,Fall Into Sleep,Mudvayne,Fall Into Sleep,Lost and Found,232,F,major,146,4/4,12d,matched,1.0000,,GetSongBPM,3WgMx,Fall Into Sleep,Mudvayne,https://getsongbpm.com/song/fall-into-sleep/3WgMx,47,1
22,aLZ1MFDZDk4,https://music.youtube.com/watch?v=aLZ1MFDZDk4,Cuckold Burger,Свин Герпатий,Дмитрий Ленковский,Cuckold Burger - Свин Герпатий,,187,,,,,,missing,,not_found,,,,,,,
23,v2R8icOeBEg,https://music.youtube.com/watch?v=v2R8icOeBEg,Mudvayne,King Of Pain,Mudvayne,King Of Pain,"By The People, For The People",277,B,minor,125,,,manual_entry,1.0000,,manual,,,,,,
24,T7KC7jUlQuk,https://music.youtube.com/watch?v=T7KC7jUlQuk,Ill Nino,I Am Loco,Ill Nino,I Am Loco,Revolution Revolucion,211,G,major,174,4/4,2d,matched,1.0000,,GetSongBPM,vl0vM,I Am Loco,Ill Niño,https://getsongbpm.com/song/i-am-loco/vl0vM,52,1
25,uqSsW7pZNeE,https://music.youtube.com/watch?v=uqSsW7pZNeE,Mudvayne,Some Assembly Required,Mudvayne,Some Assembly Required,The Beginning Of All Things To End,167,F,minor,92,4/4,9m,matched,1.0000,,GetSongBPM,N9VXN,Some Assembly Required,Mudvayne,https://getsongbpm.com/song/some-assembly-required/N9VXN,44,1
26,zFYWxrW28ms,https://music.youtube.com/watch?v=zFYWxrW28ms,Mudvayne,Cultivate,Mudvayne,Cultivate,The Beginning Of All Things To End,258,G,major,88,4/4,2d,matched,1.0000,,GetSongBPM,MQRNR,Cultivate,Mudvayne,https://getsongbpm.com/song/cultivate/MQRNR,43,1
27,ByBhN_X5nVg,https://music.youtube.com/watch?v=ByBhN_X5nVg,System Of A Down,Roulette,System Of A Down,Roulette,Steal This Album!,202,F,minor,129,4/4,9m,matched,1.0000,,GetSongBPM,92rz4,Roulette,System of a Down,https://getsongbpm.com/song/roulette/92rz4,48,56
28,t3QJtY214CM,https://music.youtube.com/watch?v=t3QJtY214CM,DYING FETUS,Kill your Mother / Rape your Dog,CannibaCorpse666,Kill your Mother  / Rape your Dog - DYING FETUS,,85,B,minor,152,4/4,3m,manual_accept_broader,1.0000,,GetSongBPM,l8X57,"Kill Your Mother, Rape Your Dog",Dying Fetus,https://getsongbpm.com/song/kill-your-mother-rape-your-dog/l8X57,36,1
29,DaH4Pd6zsXM,https://music.youtube.com/watch?v=DaH4Pd6zsXM,Serj Tankian,Harakiri,Serj Tankian,Harakiri,Harakiri,260,F,minor,136,4/4,9m,matched,1.0000,,GetSongBPM,JqApRK,Harakiri,Serj Tankian,https://getsongbpm.com/song/harakiri/JqApRK,51,1
30,USNr_n-NYmc,https://music.youtube.com/watch?v=USNr_n-NYmc,Ramin Djawadi; Serj Tankian,The Rains of Castamere,Ramin Djawadi; Serj Tankian,The Rains of Castamere,Game Of Thrones: Season 8 (Music from the HBO Series),225,C,minor,84,,,manual_entry,1.0000,,manual,,,,,,
31,HYoSsYPgRJo,https://music.youtube.com/watch?v=HYoSsYPgRJo,Serj Tankian,Sky Is Over,Serj Tankian,Sky Is Over,Elect the Dead,177,F,minor,103,4/4,9m,matched,1.0000,,GetSongBPM,QWpJW9,Sky Is Over,Serj Tankian,https://getsongbpm.com/song/sky-is-over/QWpJW9,55,4
32,vOo4k3oxo5Q,https://music.youtube.com/watch?v=vOo4k3oxo5Q,Пиріг і Батіг,Гаї шумлять (1913),Пиріг і Батіг,Гаї шумлять (1913),Поетичний,134,,,,,,missing,,not_found,,,,,,,
33,lgTMOQSQvHc,https://music.youtube.com/watch?v=lgTMOQSQvHc,Temple of Void,The Crawl,Temple of Void,The Crawl,The Crawl,317,C,major,101,,,manual_entry,1.0000,,manual,,,,,,
35,yjS8EeK-We0,https://music.youtube.com/watch?v=yjS8EeK-We0,Turnstile,SLOWDIVE,Turnstile,SLOWDIVE,NEVER ENOUGH,214,F#,major,167,,,manual_entry,1.0000,,manual,,,,,,
36,sg6jwDXpw9M,https://music.youtube.com/watch?v=sg6jwDXpw9M,Mastodon,Oblivion,Mastodon,Oblivion,Crack the Skye,347,F,minor,132,3/4,9m,matched,1.0000,,GetSongBPM,9D21V3,Oblivion,Mastodon,https://getsongbpm.com/song/oblivion/9D21V3,27,1
37,HtMxyNqQCH4,https://music.youtube.com/watch?v=HtMxyNqQCH4,Slipknot,Purity,Slipknot,Purity,Slipknot (10th Anniversary Edition),266,F#,major,166,4/4,7d,matched,0.9904,,GetSongBPM,NxlZN,Purity,Slipknot,https://getsongbpm.com/song/purity/NxlZN,29,1
38,7wNyotJ3T_w,https://music.youtube.com/watch?v=7wNyotJ3T_w,Static-X,Destroy All,Static-X,Destroy All,Shadow Zone,139,C#,major,125,4/4,8d,manual_accept_broader,0.9760,,GetSongBPM,pLv8y,Destroy All,Static‐X,https://getsongbpm.com/song/destroy-all/pLv8y,56,1
39,KhQWKdyN208,https://music.youtube.com/watch?v=KhQWKdyN208,Static-X,Otsegolation,Static-X,Otsegolation,Wisconsin Death Trip,213,E,minor,130,4/4,2m,manual_accept_broader,0.9760,,GetSongBPM,DRg3k,Otsegolation,Static‐X,https://getsongbpm.com/song/otsegolation/DRg3k,57,1
40,6oEe8Nw3kaY,https://music.youtube.com/watch?v=6oEe8Nw3kaY,Михаил Елизаров,Моя мать Ева Браун,махова гамова,Моя мать Ева Браун,,231,,,,,,missing,,not_found,,,,,,,
42,xwJDfeJJ6Tg,https://music.youtube.com/watch?v=xwJDfeJJ6Tg,Type O Negative,Everything Dies,Type O Negative,Everything Dies,World Coming Down,464,B,major,166,4/4,6d,matched,1.0000,,GetSongBPM,66PxV,Everything Dies,Type O Negative,https://getsongbpm.com/song/everything-dies/66PxV,25,1
43,aLjJ8iwG8UU,https://music.youtube.com/watch?v=aLjJ8iwG8UU,Deftones,my mind is a mountain,Deftones,my mind is a mountain,private music,171,F,major,81,,,manual_entry,1.0000,,manual,,,,,,
44,kuhGTiXWjok,https://music.youtube.com/watch?v=kuhGTiXWjok,Marilyn Manson,Blood Honey,Marilyn Manson,Blood Honey,Heaven Upside Down,251,A#,major,180,4/4,11d,matched,1.0000,,GetSongBPM,Dq5vQn,Blood Honey,Marilyn Manson,https://getsongbpm.com/song/blood-honey/Dq5vQn,42,1
45,WPlO_iEWFQc,https://music.youtube.com/watch?v=WPlO_iEWFQc,Marilyn Manson,Tainted Love,Marilyn Manson,Tainted Love,The Golden Age Of Grotesque,201,G#,major,142,,,manual_entry,1.0000,,manual,,,,,,
46,F2zJDTL6dh8,https://music.youtube.com/watch?v=F2zJDTL6dh8,Nirvana,You Know You're Right,Nirvana,You Know You're Right,Nirvana,217,F,minor,168,,,manual_entry,1.0000,,manual,,,,,,
47,80xgvSCwjAY,https://music.youtube.com/watch?v=80xgvSCwjAY,Metallica,St. Anger,Metallica,St. Anger,St. Anger,442,D,minor,185,4/4,12m,matched,1.0000,,GetSongBPM,mGjKA,St. Anger,Metallica,https://getsongbpm.com/song/stpoint-anger/mGjKA,25,1
48,_siJRgDlddY,https://music.youtube.com/watch?v=_siJRgDlddY,Alice In Chains,Nutshell,Alice In Chains,Nutshell,Jar Of Flies,260,D#,minor,136,,,manual_entry,1.0000,,manual,,,,,,
49,fZcAQ0kuw1s,https://music.youtube.com/watch?v=fZcAQ0kuw1s,Deftones,Rosemary,Deftones,Rosemary,Koi No Yokan,414,F,major,126,4/4,12d,matched,1.0000,,GetSongBPM,7LmW2w,Rosemary,Deftones,https://getsongbpm.com/song/rosemary/7LmW2w,29,2
50,epPjc73iT2w,https://music.youtube.com/watch?v=epPjc73iT2w,Beyond Remembrance,Alternate Resident Evil Save Room Music,Survival Spheres,Beyond Remembrance - Alternate Resident Evil Save Room Music,,606,,,,,,missing,,not_found,,,,,,,
51,2GXPV95nKJQ,https://music.youtube.com/watch?v=2GXPV95nKJQ,System Of A Down,Mind,System Of A Down,Mind,System Of A Down,377,G,major,143,4/4,2d,matched,1.0000,,GetSongBPM,31grp,Mind,System of a Down,https://getsongbpm.com/song/mind/31grp,44,1
52,2EShccuWJk4,https://music.youtube.com/watch?v=2EShccuWJk4,Deftones,976-EVIL,Deftones,976-EVIL,Diamond Eyes (Deluxe),273,C,major,78,4/4,1d,matched,0.9904,,GetSongBPM,r0NO26,976-EVIL,Deftones,https://getsongbpm.com/song/976-evil/r0NO26,25,1
53,i4CaamMGj9s,https://music.youtube.com/watch?v=i4CaamMGj9s,Eminem,No Love (feat. Lil Wayne),Eminem,No Love (feat. Lil Wayne),Recovery,300,B,major,129,4/4,6d,matched,1.0000,,GetSongBPM,32O2rn,No Love,Eminem,https://getsongbpm.com/song/no-love/32O2rn,53,12
54,uMeePhFHk_A,https://music.youtube.com/watch?v=uMeePhFHk_A,Joe Cocker,My Father's Son,Joe Cocker,My Father's Son,No Ordinary World,270,F,minor,96,4/4,9m,matched,1.0000,,GetSongBPM,Ro1JQR,My Father's Son,Joe Cocker,https://getsongbpm.com/song/my-father-s-son/Ro1JQR,74,9
55,R6KQUdYxfrw,https://music.youtube.com/watch?v=R6KQUdYxfrw,Vitaly Margulis; Frédéric Chopin,"Nocturnes, Op. 48: No. 1, Lento in C Minor",Vitaly Margulis; Frédéric Chopin,"Nocturnes, Op. 48: No. 1, Lento in C Minor",Best of Chopin,363,,,,,,missing,,not_found,,,,,,,
56,8eigWt26gfg,https://music.youtube.com/watch?v=8eigWt26gfg,Henrik Måwe; Frédéric Chopin,"Piano Sonata No. 2 in B Minor, Op. 35: III. Funeral March (Lento)",Henrik Måwe; Frédéric Chopin,"Piano Sonata No. 2 in B Minor, Op. 35: III. Funeral March (Lento)",Best of Chopin,505,,,,,,missing,,not_found,,,,,,,
57,1g3uqoXKmhE,https://music.youtube.com/watch?v=1g3uqoXKmhE,Rotting Christ,Fire God and Fear,Rotting Christ,Fire God and Fear,Fire God and Fear,290,F#,major,120,4/4,7d,matched,0.9328,,GetSongBPM,J8v01v,Fire God and Fear,Rotting Christ,https://getsongbpm.com/song/fire-god-and-fear/J8v01v,44,1
58,LPI4f_G9cdk,https://music.youtube.com/watch?v=LPI4f_G9cdk,Mohamed Youssef,Subhan Allah,Mohamed Youssef,Subhan Allah,Subhan Allah,221,,,,,,missing,,not_found,,,,,,,
59,nhgQYW_pYMs,https://music.youtube.com/watch?v=nhgQYW_pYMs,Hans Zimmer,I've Got My Eye On You,Hans Zimmer,I've Got My Eye On You,Pirates of the Caribbean:  Dead Man's Chest (Original Motion Picture Soundtrack),146,A#,major,80,,,manual_entry,1.0000,,manual,,,,,,
61,p0dHBWqnzNA,https://music.youtube.com/watch?v=p0dHBWqnzNA,Russell Simins,Comfortable Place,Russell Simins,Comfortable Place,Public Places,255,E,minor,144,4/4,2m,matched,1.0000,,GetSongBPM,qxQm1y,Comfortable Place,Russell Simins,https://getsongbpm.com/song/comfortable-place/qxQm1y,61,16
62,y1thKzyRxkU,https://music.youtube.com/watch?v=y1thKzyRxkU,Shira Choir,Mimkoimchu,shiezoli,"Mimkoimchu – Shira Choir ft. Zanvil Weinberger | ממקומך , מקהלת שירה וזנויל ויינברגר ווקאלי",,478,,,,,,missing,,not_found,,,,,,,
63,yipcGcmnri4,https://music.youtube.com/watch?v=yipcGcmnri4,Blues 'n' Trouble,Blue Because Of You,Don's Tunes,Blues 'n' Trouble - Blue Because Of You,,493,,,,,,missing,,manual_reject_broader,,,,,,,
64,o2OZLe2j9so,https://music.youtube.com/watch?v=o2OZLe2j9so,Sundazer,Cry Wolf,Sundazer,Cry Wolf,Cry Wolf,265,A#,major,150,,,manual_entry,1.0000,,manual,,,,,,
65,4VBhf_wEfE4,https://music.youtube.com/watch?v=4VBhf_wEfE4,Luigi Scordamaglia,Siamo Qui (feat. Guido Focardi),Luigi Scordamaglia,Siamo Qui (feat. Guido Focardi),Canzoni D'amore Al Padre Vol. 3 - Praise & Worship,241,G,major,95,,,manual_entry,1.0000,,manual,,,,,,
66,gOiFFTL5j7o,https://music.youtube.com/watch?v=gOiFFTL5j7o,HIM,Your Sweet 666,HIM,Your Sweet 666,Greatest Love Songs Vol. 666,253,B,minor,130,,,manual_entry,1.0000,,manual,,,,,,
67,J2_ifsAX4Gg,https://music.youtube.com/watch?v=J2_ifsAX4Gg,Encapsulation,Alternate Resident Evil Save Room Music,Survival Spheres,Encapsulation - Alternate Resident Evil Save Room Music,,601,,,,,,missing,,not_found,,,,,,,
68,gF4q6PSkRw0,https://music.youtube.com/watch?v=gF4q6PSkRw0,Rowan Lee Hartsuiker,Chinggis Magtaal,Rowan Lee Hartsuiker,Chinggis Magtaal,,196,,,,,,missing,,not_found,,,,,,,
69,J5jI59BQjzs,https://music.youtube.com/watch?v=J5jI59BQjzs,Khusugtun,Praise of Chinggis Khaan,allie burne,Khusugtun- Praise of Chinggis Khaan/ Чингис Хааны Магтаал studio version,,287,,,,,,missing,,not_found,,,,,,,
70,fU6HLjKnywU,https://music.youtube.com/watch?v=fU6HLjKnywU,Waagal,Somārudrā || Throatsinging Sitar Live Looping,Waagal,Waagal - Somārudrā || Throatsinging Sitar Live Looping,,259,,,,,,missing,,not_found,,,,,,,
71,UYLO1nqkCak,https://music.youtube.com/watch?v=UYLO1nqkCak,Meshuggah,Lethargica,Meshuggah,Lethargica,ObZen,348,A#,major,104,3/4,11d,matched,1.0000,,GetSongBPM,PNLjp6,Lethargica,Meshuggah,https://getsongbpm.com/song/lethargica/PNLjp6,38,1
72,FdCkXQ6ciXg,https://music.youtube.com/watch?v=FdCkXQ6ciXg,The Main Squeeze,"Have a Cigar"" (Pink Floyd)",The Main Squeeze,"""Have a Cigar"" (Pink Floyd)",Squeeze House,491,,,,,,missing,,not_found,,,,,,,
73,j3yE2NAdNKo,https://music.youtube.com/watch?v=j3yE2NAdNKo,Frank Zappa,Watermelon In Easter Hay,Frank Zappa,Watermelon In Easter Hay,"Joe's Garage Acts I, II & III",548,A,major,110,4/4,4d,manual_accept,1.0000,,GetSongBPM,28MENP,Watermelon In Easter Hay,Frank Zappa,https://getsongbpm.com/song/watermelon-in-easter-hay/28MENP,49,20
74,lUBCXGeK694,https://music.youtube.com/watch?v=lUBCXGeK694,Gary Moore,Parisienne Walkways,Gary Moore,Parisienne Walkways,Back on the Streets,201,A,minor,87,4/4,1m,matched,1.0000,,GetSongBPM,6P4ml,Parisienne Walkways,Gary Moore,https://getsongbpm.com/song/parisienne-walkways/6P4ml,37,67
75,g2SlebrICqg,https://music.youtube.com/watch?v=g2SlebrICqg,Thy Art Is Murder,Reign Of Darkness,Thy Art Is Murder,Reign Of Darkness,Hate,216,A,major,136,4/4,4d,matched,1.0000,,GetSongBPM,nrAkjE,Reign of Darkness,Thy Art Is Murder,https://getsongbpm.com/song/reign-of-darkness/nrAkjE,40,1
76,P1JqWeg0Fec,https://music.youtube.com/watch?v=P1JqWeg0Fec,Bill Evans,Night and day,Bill Evans,Night and day,Everybody Digs Bill Evans,457,C,minor,83,4/4,10m,matched,1.0000,,GetSongBPM,0jW4L,Night and Day,Bill Evans,https://getsongbpm.com/song/night-and-day/0jW4L,55,86
77,j88eE2iMuGU,https://music.youtube.com/watch?v=j88eE2iMuGU,Minoru Muraoka,Take Five,Minoru Muraoka,Take Five,Bamboo,299,F,minor,169,,,manual_entry,1.0000,,manual,,,,,,
78,Qk6BEu2pAV4,https://music.youtube.com/watch?v=Qk6BEu2pAV4,Beegie Adair,Misty,Beegie Adair,Misty,Moments To Remember,206,,,,,,missing,,manual_reject_broader,,,,,,,
79,AlozyGsagzI,https://music.youtube.com/watch?v=AlozyGsagzI,Элстэйн Ганга Нутаг,Mongolian (Darkhad) folk song - Altai Yatga & Throat Singing,Rowan Hartsuiker,Элстэйн Ганга Нутаг - Mongolian (Darkhad) folk song - Altai Yatga & Throat Singing,,145,,,,,,missing,,not_found,,,,,,,
80,ec73IZloJhc,https://music.youtube.com/watch?v=ec73IZloJhc,Batzorig Vaanchig,The Beautiful Steppe,Batzorig Vaanchig,The Beautiful Steppe,,264,,,,,,missing,,not_found,,,,,,,
81,xwAbWWjeoWQ,https://music.youtube.com/watch?v=xwAbWWjeoWQ,Rowan Lee Hartsuiker,Chinggis Khaanii Magtaal - by Rowan Hartsuiker,Rowan Lee Hartsuiker,Chinggis Khaanii Magtaal - by Rowan Hartsuiker,,333,,,,,,missing,,manual_reject_broader,,,,,,,
82,PhXwg7JjbMg,https://music.youtube.com/watch?v=PhXwg7JjbMg,Julee Cruise,She Would Die for Love,Julee Cruise,She Would Die for Love,The Voice Of Love,367,C,minor,139,4/4,10m,matched,1.0000,,GetSongBPM,D8zvK,She Would Die for Love,Julee Cruise,https://getsongbpm.com/song/she-would-die-for-love/D8zvK,18,84
83,QBdnREZ7C3o,https://music.youtube.com/watch?v=QBdnREZ7C3o,Dead To Fall,Cross Section,Dead To Fall,Cross Section,Villainy And Virtue,122,B,major,53,4/4,6d,matched,1.0000,,GetSongBPM,AGzwp,Cross Section,Dead to Fall,https://getsongbpm.com/song/cross-section/AGzwp,42,1
84,i3BhWXi5lzo,https://music.youtube.com/watch?v=i3BhWXi5lzo,Angelo Badalamenti,Moving Through Time,Angelo Badalamenti,Moving Through Time,Twin Peaks: Fire Walk With Me - Soundtrack,405,,,,,,missing,,not_found,,,,,,,
87,tT9Eh8wNMkw,https://music.youtube.com/watch?v=tT9Eh8wNMkw,Dave Brubeck,Take Five,Tori Chitic,Dave Brubeck - Take Five,,445,G#,minor,83,5/4,6m,manual_accept,1.0000,,GetSongBPM,kZDLnE,Take Five,Dave Brubeck,https://getsongbpm.com/song/take-five/kZDLnE,46,55
92,QdUny2XVZ5o,https://music.youtube.com/watch?v=QdUny2XVZ5o,Meshuggah,New Millennium Cyanide Christ,Meshuggah,New Millennium Cyanide Christ,Chaosphere (25th Anniversary Remastered 2023 Edition),336,A#,minor,152,4/4,8m,matched,0.9904,,GetSongBPM,MJ38B,New Millennium Cyanide Christ,Meshuggah,https://getsongbpm.com/song/new-millennium-cyanide-christ/MJ38B,36,1
93,1DtDTj_4D_Q,https://music.youtube.com/watch?v=1DtDTj_4D_Q,Meshuggah,Demiurge,Meshuggah,Demiurge,Koloss,373,C#,major,113,4/4,8d,matched,1.0000,,GetSongBPM,32jg9O,Demiurge,Meshuggah,https://getsongbpm.com/song/demiurge/32jg9O,21,1
94,y6lfK3bH4z8,https://music.youtube.com/watch?v=y6lfK3bH4z8,Guns N' Roses,November Rain,Guns N' Roses,November Rain,Use Your Illusion I,537,B,major,78,4/4,6d,matched,1.0000,,GetSongBPM,v20qV,November Rain,Guns N' Roses,https://getsongbpm.com/song/november-rain/v20qV,30,2
95,pCrQMvoMVHk,https://music.youtube.com/watch?v=pCrQMvoMVHk,Pink Floyd,High Hopes,Pink Floyd,High Hopes,The Division Bell,511,C,minor,75,4/4,10m,matched,1.0000,,GetSongBPM,9rK43,High Hopes,Pink Floyd,https://getsongbpm.com/song/high-hopes/9rK43,52,21
96,dwc7ZEYfWYc,https://music.youtube.com/watch?v=dwc7ZEYfWYc,John Mayall & The Bluesbreakers with Gary Moore,So Many Roads,SR L,John Mayall & The Bluesbreakers with Gary Moore - So Many Roads,,528,A#,minor,67,,,manual_entry,1.0000,,manual,,,,,,
97,Zt7rxV2i8cE,https://music.youtube.com/watch?v=Zt7rxV2i8cE,Stoic Music,Storm Edge,Stoic Music,Storm Edge,Spartan Spirit,175,,,,,,missing,,not_found,,,,,,,
98,L5pSCJ-yaok,https://music.youtube.com/watch?v=L5pSCJ-yaok,Vangelis,Prelude,Vangelis,Prelude,Reprise 1990-1999,291,F#,minor,82,4/4,4m,matched,0.9345,,GetSongBPM,OyPylp,Prelude,Vangelis,https://getsongbpm.com/song/prelude/OyPylp,17,96
99,PtJ_BmVLCyQ,https://music.youtube.com/watch?v=PtJ_BmVLCyQ,Nils Frahm,Talisman,Nils Frahm,Talisman,Encores 2,242,F,minor,59,,,manual_entry,1.0000,,manual,,,,,,
100,f7ykwOLts3k,https://music.youtube.com/watch?v=f7ykwOLts3k,"Anthony Hopkins, Danielle de Niese, Bruno Lazzaretti, Libera, The Lyndhurst Orchestra, and Gavin Greenaway",Vide Cor Meum,"Anthony Hopkins, Danielle de Niese, Bruno Lazzaretti, Libera, The Lyndhurst Orchestra, and Gavin Greenaway",Vide Cor Meum,Hannibal - Original Motion Picture Soundtrack,261,A,major,79,,,manual_entry,1.0000,,manual,,,,,,
101,hOhTDRdcx4o,https://music.youtube.com/watch?v=hOhTDRdcx4o,Pink Floyd,The Great Gig in the Sky,Pink Floyd,The Great Gig in the Sky,The Dark Side of the Moon,284,F,major,116,4/4,12d,matched,1.0000,,GetSongBPM,48ZJk,The Great Gig in the Sky,Pink Floyd,https://getsongbpm.com/song/the-great-gig-in-the-sky/48ZJk,28,77
102,80LhtHY_fHw,https://music.youtube.com/watch?v=80LhtHY_fHw,Pink Floyd,Time,Pink Floyd,Time,The Dark Side of the Moon,414,F#,minor,122,4/4,4m,matched,1.0000,,GetSongBPM,3l8G9,Time,Pink Floyd,https://getsongbpm.com/song/time/3l8G9,36,53
103,S33tWZqXhnk,https://music.youtube.com/watch?v=S33tWZqXhnk,TOMMY EMMANUEL,Classical Gas [Mason Williams] | Tommy Emmanuel,TOMMY EMMANUEL,Classical Gas [Mason Williams] | Tommy Emmanuel,,270,,,,,,missing,,not_found,,,,,,,
104,cnZfTY96THI,https://music.youtube.com/watch?v=cnZfTY96THI,Wounded Masquerade,my own blood,Wounded Masquerade,my own blood,my own blood,386,F,major,123,,,manual_entry,1.0000,,manual,,,,,,
105,SCXdbOsP5Ew,https://music.youtube.com/watch?v=SCXdbOsP5Ew,System Of A Down,Ego Brain,System Of A Down,Ego Brain,Steal This Album!,202,G,major,86,4/4,2d,matched,1.0000,,GetSongBPM,7A3xG,Ego Brain,System of a Down,https://getsongbpm.com/song/ego-brain/7A3xG,29,1
106,wmkXQeqEbL8,https://music.youtube.com/watch?v=wmkXQeqEbL8,System Of A Down,War?,System Of A Down,War?,System Of A Down,161,G#,major,98,4/4,9d,matched,1.0000,,GetSongBPM,2kPqA,War?,System of a Down,https://getsongbpm.com/song/warquestion/2kPqA,37,9
107,xj7RMPM3A2c,https://music.youtube.com/watch?v=xj7RMPM3A2c,System Of A Down,Lost In Hollywood,System Of A Down,Lost In Hollywood,Mezmerize,321,G#,minor,152,4/4,6m,matched,1.0000,,GetSongBPM,lZNWV,Lost in Hollywood,System of a Down,https://getsongbpm.com/song/lost-in-hollywood/lZNWV,30,60
108,nvHq4siXbPo,https://music.youtube.com/watch?v=nvHq4siXbPo,System Of A Down,Radio/,System Of A Down,Radio/Video,Mezmerize,250,F#,minor,136,4/4,4m,matched,0.9304,,GetSongBPM,rjnWB,Radio/Video,System of a Down,https://getsongbpm.com/song/radio-video/rjnWB,37,18
109,Am3mycbR4C4,https://music.youtube.com/watch?v=Am3mycbR4C4,System Of A Down,Question!,System Of A Down,Question!,Mezmerize,201,E,minor,90,4/4,2m,matched,1.0000,,GetSongBPM,gRNWD,Question!,System of a Down,https://getsongbpm.com/song/questionexclamation/gRNWD,21,1
