source_position,video_id,video_url,normalized_artists,normalized_title,original_artists,original_title,album,duration_seconds,key_of,mode,tempo,time_sig,open_key,match_status,match_score,match_reason,metadata_source,getsongbpm_song_id,getsongbpm_title,getsongbpm_artist,getsongbpm_uri,danceability,acousticness
761,6rTcdOeedSg,https://music.youtube.com/watch?v=6rTcdOeedSg,E-Mantra,Silence,E-Mantra,Silence,Silence,345,G,major,159,4/4,2d,matched,1.0000,,GetSongBPM,1rOBEV,Silence,e-mantra,https://getsongbpm.com/song/silence/1rOBEV,54,52
762,LDnNBmbEme0,https://music.youtube.com/watch?v=LDnNBmbEme0,Shaman's Dream; Poranguí; Eric Zang,Cedar Moon (feat. Geometrae),Shaman's Dream; Poranguí; Eric Zang,Cedar Moon (feat. Geometrae),Cedar Moon,328,D,major,124,,,manual_entry,1.0000,,manual,,,,,,
763,nrqPZFNrqCA,https://music.youtube.com/watch?v=nrqPZFNrqCA,Foreigner,That Was Yesterday,Foreigner,That Was Yesterday,Agent Provocateur,230,G#,minor,114,4/4,6m,matched,1.0000,,GetSongBPM,MQEJL3,That Was Yesterday,Foreigner,https://getsongbpm.com/song/that-was-yesterday/MQEJL3,44,5
764,xEyqEIYJnYk,https://music.youtube.com/watch?v=xEyqEIYJnYk,Dojo Cuts,I'd Rather Go Blind (feat. Roxie Ray),Dojo Cuts,I'd Rather Go Blind (feat. Roxie Ray),Take from Me (feat. Roxie Ray),187,B,minor,148,3/4,3m,matched,1.0000,,GetSongBPM,4R4xvx,I'd Rather Go Blind,Dojo Cuts,https://getsongbpm.com/song/i-d-rather-go-blind/4R4xvx,67,52
765,rbBbQ-jldvQ,https://music.youtube.com/watch?v=rbBbQ-jldvQ,Amy Winehouse,Back To Black,Amy Winehouse,Back To Black,Back To Black,241,D,minor,124,4/4,12m,matched,1.0000,,GetSongBPM,qxpOvD,Back to Black,Amy Winehouse,https://getsongbpm.com/song/back-to-black/qxpOvD,49,13
766,EOjm4SEDMu8,https://music.youtube.com/watch?v=EOjm4SEDMu8,Kings Of Leon,Sex on Fire,Kings Of Leon,Sex on Fire,Only By The Night,204,E,major,152,4/4,5d,matched,1.0000,,GetSongBPM,G6LQD3,Sex on Fire,Kings of Leon,https://getsongbpm.com/song/sex-on-fire/G6LQD3,55,1
767,Pr3g9TPPuH4,https://music.youtube.com/watch?v=Pr3g9TPPuH4,Amy Winehouse,You Know I'm No Good,Amy Winehouse,You Know I'm No Good,Back To Black,257,D,minor,103,4/4,12m,matched,1.0000,,GetSongBPM,n5mLpY,You Know I'm No Good,Amy Winehouse,https://getsongbpm.com/song/you-know-i-m-no-good/n5mLpY,71,2
769,Jc6-WXt5iKA,https://music.youtube.com/watch?v=Jc6-WXt5iKA,System Of A Down,Lonely Day,System Of A Down,Lonely Day,Lonely Day,169,G#,minor,112,3/4,6m,matched,0.9368,,GetSongBPM,280QzP,Lonely Day,System of a Down,https://getsongbpm.com/song/lonely-day/280QzP,47,37
770,tQYzBm8J4M4,https://music.youtube.com/watch?v=tQYzBm8J4M4,HIM,Enjoy the Silence,Safari Prod,HIM- Enjoy the Silence (Music Video),,257,,,,,,missing,,manual_reject_broader,,,,,,,
771,hlM8jL40xWc,https://music.youtube.com/watch?v=hlM8jL40xWc,Hideki Taniuchi,Shinigamikai B,Hideki Taniuchi,Shinigamikai B,DEATH NOTE Original Soundtrack Ⅱ,153,,,,,,missing,,not_found,,,,,,,
772,dFCz1hG6ikA,https://music.youtube.com/watch?v=dFCz1hG6ikA,Hideki Taniuchi,Melo,Hideki Taniuchi,Melo,DEATH NOTE Original Soundtrack Ⅲ,114,D,major,172,,,manual_entry,1.0000,,manual,,,,,,
773,dQSG381pNWo,https://music.youtube.com/watch?v=dQSG381pNWo,Hideki Taniuchi,L no Kako,Hideki Taniuchi,L no Kako,DEATH NOTE Original Soundtrack Ⅲ,123,,,,,,missing,,not_found,,,,,,,
774,idXL5x6RtEQ,https://music.youtube.com/watch?v=idXL5x6RtEQ,Hideki Taniuchi,Tokuso,Hideki Taniuchi,Tokuso,DEATH NOTE Original Soundtrack,186,,,,,,missing,,not_found,,,,,,,
775,joOLTDC9clo,https://music.youtube.com/watch?v=joOLTDC9clo,Hideki Taniuchi,Shinigamikai,Hideki Taniuchi,Shinigamikai,DEATH NOTE Original Soundtrack,206,,,,,,missing,,not_found,,,,,,,
776,srDmw7kSjik,https://music.youtube.com/watch?v=srDmw7kSjik,Hideki Taniuchi,Light no Theme,Hideki Taniuchi,Light no Theme,DEATH NOTE Original Soundtrack,204,,,,,,missing,,not_found,,,,,,,
777,yC83sb4PMLQ,https://music.youtube.com/watch?v=yC83sb4PMLQ,LP,Lost on You,LP,Lost on You,Lost on You,268,F,minor,174,,,manual_entry,1.0000,,manual,,,,,,
778,KHIMIa5Lzxk,https://music.youtube.com/watch?v=KHIMIa5Lzxk,A Great Big World,Say Something,A Great Big World,Say Something,Say Something,233,D,major,141,3/4,3d,manual_accept,0.9487,,GetSongBPM,NL0VX2,Say Something,A Great Big World,https://getsongbpm.com/song/say-something/NL0VX2,41,86
779,67ibXO8viXE,https://music.youtube.com/watch?v=67ibXO8viXE,Sam Smith,I'm Not The Only One,Sam Smith,I'm Not The Only One,In The Lonely Hour,240,F,major,83,4/4,12d,matched,1.0000,,GetSongBPM,OMkNWp,I'm Not the Only One,Sam Smith,https://getsongbpm.com/song/i-m-not-the-only-one/OMkNWp,46,56
780,eVRbaYq5Aw4,https://music.youtube.com/watch?v=eVRbaYq5Aw4,Cigarettes After Sex,Sunsetz,Cigarettes After Sex,Sunsetz,Cigarettes After Sex,215,A,minor,75,4/4,1m,matched,1.0000,,GetSongBPM,NOvPyp,Sunsetz,Cigarettes After Sex,https://getsongbpm.com/song/sunsetz/NOvPyp,42,6
781,znvky0Uq8qc,https://music.youtube.com/watch?v=znvky0Uq8qc,Stephen Sanchez,Until I Found You,Stephen Sanchez,Until I Found You,Easy On My Eyes,177,A#,major,101,,,manual_entry,1.0000,,manual,,,,,,
782,jyQoJZ7-iac,https://music.youtube.com/watch?v=jyQoJZ7-iac,Foreigner,Waiting for a Girl Like You,Foreigner,Waiting for a Girl Like You,Soft Summer Rock,290,A#,minor,103,4/4,8m,matched,1.0000,,GetSongBPM,z677Y,Waiting for a Girl Like You,Foreigner,https://getsongbpm.com/song/waiting-for-a-girl-like-you/z677Y,33,31
783,8wWrzr3_46Y,https://music.youtube.com/watch?v=8wWrzr3_46Y,Океан Ельзи,Обійми,Океан Ельзи,Обійми,Земля,225,,,,,,missing,,not_found,,,,,,,
784,K_IOd7IUglY,https://music.youtube.com/watch?v=K_IOd7IUglY,Twelve Titans Music,Ten Thousand Times Before,Twelve Titans Music,Ten Thousand Times Before,Ascend the Starless Sky,228,D,minor,111,4/4,12m,matched,0.9429,,GetSongBPM,jYxgRy,Ten Thousand Times Before,Twelve Titans Music,https://getsongbpm.com/song/ten-thousand-times-before/jYxgRy,17,50
785,04U4GjeuUIg,https://music.youtube.com/watch?v=04U4GjeuUIg,Bloodbath,Chainsaw Lullaby,Bloodbath,Chainsaw Lullaby,The Arrow of Satan is Drawn,200,C,major,130,4/4,1d,matched,1.0000,,GetSongBPM,qQKAqp,Chainsaw Lullaby,Bloodbath,https://getsongbpm.com/song/chainsaw-lullaby/qQKAqp,36,1
786,2pjeaFlB-Jo,https://music.youtube.com/watch?v=2pjeaFlB-Jo,Rivers of Nihil,Capricorn / Agoratopia,Rivers of Nihil,Capricorn / Agoratopia,Where Owls Know My Name,471,A,major,110,4/4,4d,matched,1.0000,,GetSongBPM,QkDQMq,Capricorn / Agoratopia,Rivers of Nihil,https://getsongbpm.com/song/capricorn-agoratopia/QkDQMq,43,1
787,BTOeRwIUnG0,https://music.youtube.com/watch?v=BTOeRwIUnG0,Frank Sinatra,Strangers In The Night,Frank Sinatra,Strangers In The Night,Strangers In The Night (Expanded Edition),158,F,major,80,4/4,12d,matched,0.9904,,GetSongBPM,NjAK8,Strangers in the Night,Frank Sinatra,https://getsongbpm.com/song/strangers-in-the-night/NjAK8,23,64
788,UmJApFVLWZ0,https://music.youtube.com/watch?v=UmJApFVLWZ0,БумБокс,Тримай мене (feat. The Gitas),БумБокс,Тримай мене (feat. The Gitas),Таємний код Рубікон Частина 1,275,,,,,,missing,,not_found,,,,,,,
789,TuF-1TbV6Mw,https://music.youtube.com/watch?v=TuF-1TbV6Mw,Pianoбой,Кохання,Pianoбой,Кохання,The Best Of,219,,,,,,missing,,not_found,,,,,,,
790,8ZsDsjO6Knc,https://music.youtube.com/watch?v=8ZsDsjO6Knc,Macintosh Plus,ライブラリ,Macintosh Plus,ライブラリ,Floral Shoppe,164,,,,,,missing,,not_found,,,,,,,
791,ZyH5EjuDLx8,https://music.youtube.com/watch?v=ZyH5EjuDLx8,Macintosh Plus,リサフランク420 - 現代のコンピュー,Macintosh Plus,リサフランク420 - 現代のコンピュー,Floral Shoppe,441,,,,,,missing,,not_found,,,,,,,
792,xDVKyHvi65s,https://music.youtube.com/watch?v=xDVKyHvi65s,Macintosh Plus,ブート,Macintosh Plus,ブート,Floral Shoppe,205,,,,,,missing,,not_found,,,,,,,
793,GxAvNgOVQNE,https://music.youtube.com/watch?v=GxAvNgOVQNE,Godsmack,Serenity,Godsmack,Serenity,Faceless,275,F#,minor,110,4/4,4m,matched,1.0000,,GetSongBPM,nGj9R,Serenity,Godsmack,https://getsongbpm.com/song/serenity/nGj9R,70,3
796,UNkwrKjYUmo,https://music.youtube.com/watch?v=UNkwrKjYUmo,Foreigner,Starrider,Foreigner,Starrider,Foreigner (Expanded),243,C,major,145,4/4,1d,matched,0.9904,,GetSongBPM,k5xMx,Starrider,Foreigner,https://getsongbpm.com/song/starrider/k5xMx,39,4
797,52vehHn8KfQ,https://music.youtube.com/watch?v=52vehHn8KfQ,Rag'n'Bone Man,Human,Rag'n'Bone Man,Human,Human,200,A#,minor,76,4/4,8m,matched,1.0000,,GetSongBPM,nR1JgR,Human,Rag'n'Bone Man,https://getsongbpm.com/song/human/nR1JgR,61,40
798,xzxK9eAEDZY,https://music.youtube.com/watch?v=xzxK9eAEDZY,Aethyrien,Árásaust,Aethyrien,Árásaust,Árásaust,220,,,,,,missing,,not_found,,,,,,,
800,Ei8UnOPJX7w,https://music.youtube.com/watch?v=Ei8UnOPJX7w,Adele,Hello,Adele,Hello,25,296,F,minor,78,4/4,9m,matched,1.0000,,GetSongBPM,Z8wOkE,Hello,Adele,https://getsongbpm.com/song/hello/Z8wOkE,49,34
801,P7TKoQ6nwiI,https://music.youtube.com/watch?v=P7TKoQ6nwiI,Conchita performs Rise Like a Phoenix,Sydney Opera House,Sydney Symphony Orchestra,Conchita performs Rise Like a Phoenix - Sydney Opera House,,272,,,,,,missing,,not_found,,,,,,,
802,dS3Y4_H87OM,https://music.youtube.com/watch?v=dS3Y4_H87OM,Conchita Wurst,Pure,Conchita Wurst,Pure,Conchita,238,D#,minor,184,3/4,7m,matched,1.0000,,GetSongBPM,RO4Enq,Pure,Conchita Wurst,https://getsongbpm.com/song/pure/RO4Enq,26,58
803,jUJ9-BUg9s4,https://music.youtube.com/watch?v=jUJ9-BUg9s4,Conchita Wurst,Firestorm,Conchita Wurst,Firestorm,Conchita,224,F#,major,122,4/4,7d,matched,1.0000,,GetSongBPM,Qn3Dml,Firestorm,Conchita Wurst,https://getsongbpm.com/song/firestorm/Qn3Dml,70,3
804,UmCiX3PsBZs,https://music.youtube.com/watch?v=UmCiX3PsBZs,Conchita Wurst,Colours of Your Love,Conchita Wurst,Colours of Your Love,Conchita,213,D,minor,125,4/4,12m,matched,1.0000,,GetSongBPM,MwYygA,Colours of Your Love,Conchita Wurst,https://getsongbpm.com/song/colours-of-your-love/MwYygA,58,31
805,Ln8dxzCkACg,https://music.youtube.com/watch?v=Ln8dxzCkACg,Clawfinger,Nigger,Clawfinger,Nigger,Deaf Dumb Blind,228,D,major,94,4/4,3d,matched,1.0000,,GetSongBPM,mQ54O,Nigger,Clawfinger,https://getsongbpm.com/song/nigger/mQ54O,58,3
807,bZdtY84zzXw,https://music.youtube.com/watch?v=bZdtY84zzXw,Ghost,It's A Sin,Ghost,It's A Sin,It's A Sin,281,C,minor,127,,,manual_entry,1.0000,,manual,,,,,,
808,yt40jLz7TeQ,https://music.youtube.com/watch?v=yt40jLz7TeQ,Ghost,Kaisarion,Ghost,Kaisarion,IMPERA,303,,,,,,missing,,not_found,,,,,,,
809,pgvelTw51AI,https://music.youtube.com/watch?v=pgvelTw51AI,"Хор "" София","П.Гончаров: "" Кресту Твоему",Yuriy Panytsia (PanyaRecords),"Хор "" София "" - П.Гончаров: "" Кресту Твоему """,,180,,,,,,missing,,not_found,,,,,,,
810,jtBmowJLc94,https://music.youtube.com/watch?v=jtBmowJLc94,Deftones,Cherry Waves,Deftones,Cherry Waves,Saturday Night Wrist,318,D,major,123,4/4,3d,matched,1.0000,,GetSongBPM,rkqnwW,Cherry Waves,Deftones,https://getsongbpm.com/song/cherry-waves/rkqnwW,47,1
811,Ya-w5Qx1tzc,https://music.youtube.com/watch?v=Ya-w5Qx1tzc,Rivers of Nihil,The Silent Life,Rivers of Nihil,The Silent Life,Where Owls Know My Name,395,C#,minor,99,4/4,5m,matched,1.0000,,GetSongBPM,GRpD0Q,The Silent Life,Rivers of Nihil,https://getsongbpm.com/song/the-silent-life/GRpD0Q,44,1
812,veEYWN5PuRw,https://music.youtube.com/watch?v=veEYWN5PuRw,Aethyrien,Valkyrja,Aethyrien,Valkyrja,Valkyrja,173,A,minor,118,,,manual_entry,1.0000,,manual,,,,,,
814,DmhdcDQt7Dk,https://music.youtube.com/watch?v=DmhdcDQt7Dk,Lil Peep; XXXTENTACION,Falling Down (Bonus Track),Lil Peep; XXXTENTACION,Falling Down (Bonus Track),"Come Over When You're Sober, Pt. 2",197,E,minor,120,,,manual_entry,1.0000,,manual,,,,,,
